bytes,time,node
14,5.0,node 0
14,5.0,all nodes
0,5.0,node 1
14,5.0,all nodes
0,5.0,node 2
14,5.0,all nodes
0,5.0,node 3
14,5.0,all nodes
0,5.0,node 4
14,5.0,all nodes
42,5.25,node 0
42,5.25,all nodes
0,5.25,node 1
42,5.25,all nodes
0,5.25,node 2
42,5.25,all nodes
0,5.25,node 3
42,5.25,all nodes
0,5.25,node 4
42,5.25,all nodes
157,5.5,node 0
157,5.5,all nodes
0,5.5,node 1
157,5.5,all nodes
0,5.5,node 2
157,5.5,all nodes
0,5.5,node 3
157,5.5,all nodes
0,5.5,node 4
157,5.5,all nodes
370,5.75,node 0
370,5.75,all nodes
0,5.75,node 1
370,5.75,all nodes
0,5.75,node 2
370,5.75,all nodes
0,5.75,node 3
370,5.75,all nodes
0,5.75,node 4
370,5.75,all nodes
615,6.0,node 0
615,6.0,all nodes
0,6.0,node 1
615,6.0,all nodes
0,6.0,node 2
615,6.0,all nodes
0,6.0,node 3
615,6.0,all nodes
0,6.0,node 4
615,6.0,all nodes
860,6.25,node 0
860,6.25,all nodes
0,6.25,node 1
860,6.25,all nodes
0,6.25,node 2
860,6.25,all nodes
0,6.25,node 3
860,6.25,all nodes
0,6.25,node 4
860,6.25,all nodes
1105,6.5,node 0
1105,6.5,all nodes
0,6.5,node 1
1105,6.5,all nodes
0,6.5,node 2
1105,6.5,all nodes
0,6.5,node 3
1105,6.5,all nodes
0,6.5,node 4
1105,6.5,all nodes
1350,6.75,node 0
1350,6.75,all nodes
0,6.75,node 1
1350,6.75,all nodes
0,6.75,node 2
1350,6.75,all nodes
0,6.75,node 3
1350,6.75,all nodes
0,6.75,node 4
1350,6.75,all nodes
1595,7.0,node 0
1595,7.0,all nodes
0,7.0,node 1
1595,7.0,all nodes
0,7.0,node 2
1595,7.0,all nodes
0,7.0,node 3
1595,7.0,all nodes
0,7.0,node 4
1595,7.0,all nodes
1841,7.25,node 0
1841,7.25,all nodes
0,7.25,node 1
1841,7.25,all nodes
0,7.25,node 2
1841,7.25,all nodes
0,7.25,node 3
1841,7.25,all nodes
0,7.25,node 4
1841,7.25,all nodes
2086,7.5,node 0
2086,7.5,all nodes
0,7.5,node 1
2086,7.5,all nodes
0,7.5,node 2
2086,7.5,all nodes
0,7.5,node 3
2086,7.5,all nodes
0,7.5,node 4
2086,7.5,all nodes
2169,7.75,node 0
2169,7.75,all nodes
0,7.75,node 1
2169,7.75,all nodes
0,7.75,node 2
2169,7.75,all nodes
0,7.75,node 3
2169,7.75,all nodes
0,7.75,node 4
2169,7.75,all nodes
2321,8.0,node 0
2321,8.0,all nodes
0,8.0,node 1
2321,8.0,all nodes
0,8.0,node 2
2321,8.0,all nodes
0,8.0,node 3
2321,8.0,all nodes
0,8.0,node 4
2321,8.0,all nodes
2566,8.25,node 0
2566,8.25,all nodes
0,8.25,node 1
2566,8.25,all nodes
0,8.25,node 2
2566,8.25,all nodes
0,8.25,node 3
2566,8.25,all nodes
0,8.25,node 4
2566,8.25,all nodes
2812,8.5,node 0
2812,8.5,all nodes
0,8.5,node 1
2812,8.5,all nodes
0,8.5,node 2
2812,8.5,all nodes
0,8.5,node 3
2812,8.5,all nodes
0,8.5,node 4
2812,8.5,all nodes
3057,8.75,node 0
3057,8.75,all nodes
0,8.75,node 1
3057,8.75,all nodes
0,8.75,node 2
3057,8.75,all nodes
0,8.75,node 3
3057,8.75,all nodes
0,8.75,node 4
3057,8.75,all nodes
3302,9.0,node 0
3302,9.0,all nodes
0,9.0,node 1
3302,9.0,all nodes
0,9.0,node 2
3302,9.0,all nodes
0,9.0,node 3
3302,9.0,all nodes
0,9.0,node 4
3302,9.0,all nodes
3547,9.25,node 0
3547,9.25,all nodes
0,9.25,node 1
3547,9.25,all nodes
0,9.25,node 2
3547,9.25,all nodes
0,9.25,node 3
3547,9.25,all nodes
0,9.25,node 4
3547,9.25,all nodes
3796,9.5,node 0
3796,9.5,all nodes
0,9.5,node 1
3796,9.5,all nodes
0,9.5,node 2
3796,9.5,all nodes
0,9.5,node 3
3796,9.5,all nodes
0,9.5,node 4
3796,9.5,all nodes
4042,9.75,node 0
4042,9.75,all nodes
0,9.75,node 1
4042,9.75,all nodes
0,9.75,node 2
4042,9.75,all nodes
0,9.75,node 3
4042,9.75,all nodes
0,9.75,node 4
4042,9.75,all nodes
4287,10.0,node 0
4287,10.0,all nodes
0,10.0,node 1
4287,10.0,all nodes
0,10.0,node 2
4287,10.0,all nodes
0,10.0,node 3
4287,10.0,all nodes
0,10.0,node 4
4287,10.0,all nodes
4536,10.25,node 0
4536,10.25,all nodes
0,10.25,node 1
4536,10.25,all nodes
0,10.25,node 2
4536,10.25,all nodes
0,10.25,node 3
4536,10.25,all nodes
0,10.25,node 4
4536,10.25,all nodes
4777,10.5,node 0
4782,10.5,all nodes
4,10.5,node 1
4782,10.5,all nodes
0,10.5,node 2
4782,10.5,all nodes
0,10.5,node 3
4782,10.5,all nodes
0,10.5,node 4
4782,10.5,all nodes
5013,10.75,node 0
5027,10.75,all nodes
14,10.75,node 1
5027,10.75,all nodes
0,10.75,node 2
5027,10.75,all nodes
0,10.75,node 3
5027,10.75,all nodes
0,10.75,node 4
5027,10.75,all nodes
5244,11.0,node 0
5272,11.0,all nodes
28,11.0,node 1
5272,11.0,all nodes
0,11.0,node 2
5272,11.0,all nodes
0,11.0,node 3
5272,11.0,all nodes
0,11.0,node 4
5272,11.0,all nodes
5475,11.25,node 0
5517,11.25,all nodes
41,11.25,node 1
5517,11.25,all nodes
0,11.25,node 2
5517,11.25,all nodes
0,11.25,node 3
5517,11.25,all nodes
0,11.25,node 4
5517,11.25,all nodes
5711,11.5,node 0
5762,11.5,all nodes
51,11.5,node 1
5762,11.5,all nodes
0,11.5,node 2
5762,11.5,all nodes
0,11.5,node 3
5762,11.5,all nodes
0,11.5,node 4
5762,11.5,all nodes
5942,11.75,node 0
6007,11.75,all nodes
65,11.75,node 1
6007,11.75,all nodes
0,11.75,node 2
6007,11.75,all nodes
0,11.75,node 3
6007,11.75,all nodes
0,11.75,node 4
6007,11.75,all nodes
6150,12.0,node 0
6252,12.0,all nodes
102,12.0,node 1
6252,12.0,all nodes
0,12.0,node 2
6252,12.0,all nodes
0,12.0,node 3
6252,12.0,all nodes
0,12.0,node 4
6252,12.0,all nodes
6349,12.25,node 0
6497,12.25,all nodes
148,12.25,node 1
6497,12.25,all nodes
0,12.25,node 2
6497,12.25,all nodes
0,12.25,node 3
6497,12.25,all nodes
0,12.25,node 4
6497,12.25,all nodes
6552,12.5,node 0
6742,12.5,all nodes
189,12.5,node 1
6742,12.5,all nodes
0,12.5,node 2
6742,12.5,all nodes
0,12.5,node 3
6742,12.5,all nodes
0,12.5,node 4
6742,12.5,all nodes
6728,12.75,node 0
6987,12.75,all nodes
259,12.75,node 1
6987,12.75,all nodes
0,12.75,node 2
6987,12.75,all nodes
0,12.75,node 3
6987,12.75,all nodes
0,12.75,node 4
6987,12.75,all nodes
6890,13.0,node 0
7232,13.0,all nodes
342,13.0,node 1
7232,13.0,all nodes
0,13.0,node 2
7232,13.0,all nodes
0,13.0,node 3
7232,13.0,all nodes
0,13.0,node 4
7232,13.0,all nodes
7080,13.25,node 0
7478,13.25,all nodes
398,13.25,node 1
7478,13.25,all nodes
0,13.25,node 2
7478,13.25,all nodes
0,13.25,node 3
7478,13.25,all nodes
0,13.25,node 4
7478,13.25,all nodes
7190,13.5,node 0
7723,13.5,all nodes
532,13.5,node 1
7723,13.5,all nodes
0,13.5,node 2
7723,13.5,all nodes
0,13.5,node 3
7723,13.5,all nodes
0,13.5,node 4
7723,13.5,all nodes
7352,13.75,node 0
7968,13.75,all nodes
615,13.75,node 1
7968,13.75,all nodes
0,13.75,node 2
7968,13.75,all nodes
0,13.75,node 3
7968,13.75,all nodes
0,13.75,node 4
7968,13.75,all nodes
7473,14.0,node 0
8217,14.0,all nodes
744,14.0,node 1
8217,14.0,all nodes
0,14.0,node 2
8217,14.0,all nodes
0,14.0,node 3
8217,14.0,all nodes
0,14.0,node 4
8217,14.0,all nodes
7625,14.25,node 0
8462,14.25,all nodes
837,14.25,node 1
8462,14.25,all nodes
0,14.25,node 2
8462,14.25,all nodes
0,14.25,node 3
8462,14.25,all nodes
0,14.25,node 4
8462,14.25,all nodes
7792,14.5,node 0
8708,14.5,all nodes
915,14.5,node 1
8708,14.5,all nodes
0,14.5,node 2
8708,14.5,all nodes
0,14.5,node 3
8708,14.5,all nodes
0,14.5,node 4
8708,14.5,all nodes
8037,14.75,node 0
8953,14.75,all nodes
915,14.75,node 1
8953,14.75,all nodes
0,14.75,node 2
8953,14.75,all nodes
0,14.75,node 3
8953,14.75,all nodes
0,14.75,node 4
8953,14.75,all nodes
8217,15.0,node 0
9198,15.0,all nodes
980,15.0,node 1
9198,15.0,all nodes
0,15.0,node 2
9198,15.0,all nodes
0,15.0,node 3
9198,15.0,all nodes
0,15.0,node 4
9198,15.0,all nodes
8374,15.25,node 0
9443,15.25,all nodes
1063,15.25,node 1
9443,15.25,all nodes
5,15.25,node 2
9443,15.25,all nodes
0,15.25,node 3
9443,15.25,all nodes
0,15.25,node 4
9443,15.25,all nodes
8536,15.5,node 0
9688,15.5,all nodes
1137,15.5,node 1
9688,15.5,all nodes
14,15.5,node 2
9688,15.5,all nodes
0,15.5,node 3
9688,15.5,all nodes
0,15.5,node 4
9688,15.5,all nodes
8703,15.75,node 0
9934,15.75,all nodes
1202,15.75,node 1
9934,15.75,all nodes
28,15.75,node 2
9934,15.75,all nodes
0,15.75,node 3
9934,15.75,all nodes
0,15.75,node 4
9934,15.75,all nodes
8915,16.0,node 0
10179,16.0,all nodes
1221,16.0,node 1
10179,16.0,all nodes
42,16.0,node 2
10179,16.0,all nodes
0,16.0,node 3
10179,16.0,all nodes
0,16.0,node 4
10179,16.0,all nodes
9100,16.25,node 0
10424,16.25,all nodes
1239,16.25,node 1
10424,16.25,all nodes
83,16.25,node 2
10424,16.25,all nodes
0,16.25,node 3
10424,16.25,all nodes
0,16.25,node 4
10424,16.25,all nodes
9267,16.5,node 0
10669,16.5,all nodes
1258,16.5,node 1
10669,16.5,all nodes
144,16.5,node 2
10669,16.5,all nodes
0,16.5,node 3
10669,16.5,all nodes
0,16.5,node 4
10669,16.5,all nodes
9438,16.75,node 0
10914,16.75,all nodes
1276,16.75,node 1
10914,16.75,all nodes
199,16.75,node 2
10914,16.75,all nodes
0,16.75,node 3
10914,16.75,all nodes
0,16.75,node 4
10914,16.75,all nodes
9613,17.0,node 0
11159,17.0,all nodes
1290,17.0,node 1
11159,17.0,all nodes
254,17.0,node 2
11159,17.0,all nodes
0,17.0,node 3
11159,17.0,all nodes
0,17.0,node 4
11159,17.0,all nodes
9748,17.25,node 0
11404,17.25,all nodes
1299,17.25,node 1
11404,17.25,all nodes
356,17.25,node 2
11404,17.25,all nodes
0,17.25,node 3
11404,17.25,all nodes
0,17.25,node 4
11404,17.25,all nodes
9798,17.5,node 0
11649,17.5,all nodes
1299,17.5,node 1
11649,17.5,all nodes
550,17.5,node 2
11649,17.5,all nodes
0,17.5,node 3
11649,17.5,all nodes
0,17.5,node 4
11649,17.5,all nodes
9960,17.75,node 0
11894,17.75,all nodes
1318,17.75,node 1
11894,17.75,all nodes
615,17.75,node 2
11894,17.75,all nodes
0,17.75,node 3
11894,17.75,all nodes
0,17.75,node 4
11894,17.75,all nodes
9983,18.0,node 0
12139,18.0,all nodes
1318,18.0,node 1
12139,18.0,all nodes
837,18.0,node 2
12139,18.0,all nodes
0,18.0,node 3
12139,18.0,all nodes
0,18.0,node 4
12139,18.0,all nodes
10131,18.25,node 0
12389,18.25,all nodes
1336,18.25,node 1
12389,18.25,all nodes
920,18.25,node 2
12389,18.25,all nodes
0,18.25,node 3
12389,18.25,all nodes
0,18.25,node 4
12389,18.25,all nodes
10136,18.5,node 0
12634,18.5,all nodes
1336,18.5,node 1
12634,18.5,all nodes
1161,18.5,node 2
12634,18.5,all nodes
0,18.5,node 3
12634,18.5,all nodes
0,18.5,node 4
12634,18.5,all nodes
10316,18.75,node 0
12879,18.75,all nodes
1355,18.75,node 1
12879,18.75,all nodes
1207,18.75,node 2
12879,18.75,all nodes
0,18.75,node 3
12879,18.75,all nodes
0,18.75,node 4
12879,18.75,all nodes
10386,19.0,node 0
13124,19.0,all nodes
1355,19.0,node 1
13124,19.0,all nodes
1383,19.0,node 2
13124,19.0,all nodes
0,19.0,node 3
13124,19.0,all nodes
0,19.0,node 4
13124,19.0,all nodes
10571,19.25,node 0
13369,19.25,all nodes
1373,19.25,node 1
13369,19.25,all nodes
1424,19.25,node 2
13369,19.25,all nodes
0,19.25,node 3
13369,19.25,all nodes
0,19.25,node 4
13369,19.25,all nodes
10774,19.5,node 0
13614,19.5,all nodes
1396,19.5,node 1
13614,19.5,all nodes
1443,19.5,node 2
13614,19.5,all nodes
0,19.5,node 3
13614,19.5,all nodes
0,19.5,node 4
13614,19.5,all nodes
10973,19.75,node 0
13859,19.75,all nodes
1424,19.75,node 1
13859,19.75,all nodes
1461,19.75,node 2
13859,19.75,all nodes
0,19.75,node 3
13859,19.75,all nodes
0,19.75,node 4
13859,19.75,all nodes
11181,20.0,node 0
14105,20.0,all nodes
1443,20.0,node 1
14105,20.0,all nodes
1480,20.0,node 2
14105,20.0,all nodes
0,20.0,node 3
14105,20.0,all nodes
0,20.0,node 4
14105,20.0,all nodes
11375,20.25,node 0
14350,20.25,all nodes
1470,20.25,node 1
14350,20.25,all nodes
1498,20.25,node 2
14350,20.25,all nodes
5,20.25,node 3
14350,20.25,all nodes
0,20.25,node 4
14350,20.25,all nodes
11574,20.5,node 0
14595,20.5,all nodes
1489,20.5,node 1
14595,20.5,all nodes
1517,20.5,node 2
14595,20.5,all nodes
14,20.5,node 3
14595,20.5,all nodes
0,20.5,node 4
14595,20.5,all nodes
11773,20.75,node 0
14840,20.75,all nodes
1507,20.75,node 1
14840,20.75,all nodes
1531,20.75,node 2
14840,20.75,all nodes
28,20.75,node 3
14840,20.75,all nodes
0,20.75,node 4
14840,20.75,all nodes
11976,21.0,node 0
15085,21.0,all nodes
1526,21.0,node 1
15085,21.0,all nodes
1540,21.0,node 2
15085,21.0,all nodes
42,21.0,node 3
15085,21.0,all nodes
0,21.0,node 4
15085,21.0,all nodes
12161,21.25,node 0
15330,21.25,all nodes
1544,21.25,node 1
15330,21.25,all nodes
1558,21.25,node 2
15330,21.25,all nodes
65,21.25,node 3
15330,21.25,all nodes
0,21.25,node 4
15330,21.25,all nodes
12332,21.5,node 0
15575,21.5,all nodes
1563,21.5,node 1
15575,21.5,all nodes
1577,21.5,node 2
15575,21.5,all nodes
102,21.5,node 3
15575,21.5,all nodes
0,21.5,node 4
15575,21.5,all nodes
12494,21.75,node 0
15821,21.75,all nodes
1563,21.75,node 1
15821,21.75,all nodes
1595,21.75,node 2
15821,21.75,all nodes
167,21.75,node 3
15821,21.75,all nodes
0,21.75,node 4
15821,21.75,all nodes
12670,22.0,node 0
16066,22.0,all nodes
1581,22.0,node 1
16066,22.0,all nodes
1614,22.0,node 2
16066,22.0,all nodes
199,22.0,node 3
16066,22.0,all nodes
0,22.0,node 4
16066,22.0,all nodes
12716,22.25,node 0
16311,22.25,all nodes
1720,22.25,node 1
16311,22.25,all nodes
1614,22.25,node 2
16311,22.25,all nodes
259,22.25,node 3
16311,22.25,all nodes
0,22.25,node 4
16311,22.25,all nodes
12864,22.5,node 0
16556,22.5,all nodes
1757,22.5,node 1
16556,22.5,all nodes
1632,22.5,node 2
16556,22.5,all nodes
301,22.5,node 3
16556,22.5,all nodes
0,22.5,node 4
16556,22.5,all nodes
12924,22.75,node 0
16805,22.75,all nodes
1854,22.75,node 1
16805,22.75,all nodes
1632,22.75,node 2
16805,22.75,all nodes
393,22.75,node 3
16805,22.75,all nodes
0,22.75,node 4
16805,22.75,all nodes
13068,23.0,node 0
17051,23.0,all nodes
1928,23.0,node 1
17051,23.0,all nodes
1651,23.0,node 2
17051,23.0,all nodes
402,23.0,node 3
17051,23.0,all nodes
0,23.0,node 4
17051,23.0,all nodes
13132,23.25,node 0
17296,23.25,all nodes
1984,23.25,node 1
17296,23.25,all nodes
1651,23.25,node 2
17296,23.25,all nodes
527,23.25,node 3
17296,23.25,all nodes
0,23.25,node 4
17296,23.25,all nodes
13243,23.5,node 0
17541,23.5,all nodes
2104,23.5,node 1
17541,23.5,all nodes
1656,23.5,node 2
17541,23.5,all nodes
537,23.5,node 3
17541,23.5,all nodes
0,23.5,node 4
17541,23.5,all nodes
13313,23.75,node 0
17786,23.75,all nodes
2247,23.75,node 1
17786,23.75,all nodes
1665,23.75,node 2
17786,23.75,all nodes
560,23.75,node 3
17786,23.75,all nodes
0,23.75,node 4
17786,23.75,all nodes
13419,24.0,node 0
18031,24.0,all nodes
2330,24.0,node 1
18031,24.0,all nodes
1683,24.0,node 2
18031,24.0,all nodes
597,24.0,node 3
18031,24.0,all nodes
0,24.0,node 4
18031,24.0,all nodes
13498,24.25,node 0
18276,24.25,all nodes
2455,24.25,node 1
18276,24.25,all nodes
1702,24.25,node 2
18276,24.25,all nodes
620,24.25,node 3
18276,24.25,all nodes
0,24.25,node 4
18276,24.25,all nodes
13525,24.5,node 0
18521,24.5,all nodes
2645,24.5,node 1
18521,24.5,all nodes
1702,24.5,node 2
18521,24.5,all nodes
648,24.5,node 3
18521,24.5,all nodes
0,24.5,node 4
18521,24.5,all nodes
13622,24.75,node 0
18766,24.75,all nodes
2742,24.75,node 1
18766,24.75,all nodes
1716,24.75,node 2
18766,24.75,all nodes
685,24.75,node 3
18766,24.75,all nodes
0,24.75,node 4
18766,24.75,all nodes
13733,25.0,node 0
19011,25.0,all nodes
2834,25.0,node 1
19011,25.0,all nodes
1725,25.0,node 2
19011,25.0,all nodes
717,25.0,node 3
19011,25.0,all nodes
0,25.0,node 4
19011,25.0,all nodes
13775,25.25,node 0
19257,25.25,all nodes
3015,25.25,node 1
19257,25.25,all nodes
1725,25.25,node 2
19257,25.25,all nodes
740,25.25,node 3
19257,25.25,all nodes
0,25.25,node 4
19257,25.25,all nodes
13844,25.5,node 0
19502,25.5,all nodes
3121,25.5,node 1
19502,25.5,all nodes
1743,25.5,node 2
19502,25.5,all nodes
786,25.5,node 3
19502,25.5,all nodes
5,25.5,node 4
19502,25.5,all nodes
