bytes,time,node
0,0,node 0
0,0,node 1
0,0,node 2
0,0,node 3
0,0,node 4
0,0.25,node 0
0,0.25,node 1
0,0.25,node 2
0,0.25,node 3
0,0.25,node 4
0,0.5,node 0
0,0.5,node 1
0,0.5,node 2
0,0.5,node 3
0,0.5,node 4
0,0.75,node 0
0,0.75,node 1
0,0.75,node 2
0,0.75,node 3
0,0.75,node 4
0,1.0,node 0
0,1.0,node 1
0,1.0,node 2
0,1.0,node 3
0,1.0,node 4
0,1.25,node 0
0,1.25,node 1
0,1.25,node 2
0,1.25,node 3
0,1.25,node 4
0,1.5,node 0
0,1.5,node 1
0,1.5,node 2
0,1.5,node 3
0,1.5,node 4
0,1.75,node 0
0,1.75,node 1
0,1.75,node 2
0,1.75,node 3
0,1.75,node 4
0,2.0,node 0
0,2.0,node 1
0,2.0,node 2
0,2.0,node 3
0,2.0,node 4
0,2.25,node 0
0,2.25,node 1
0,2.25,node 2
0,2.25,node 3
0,2.25,node 4
0,2.5,node 0
0,2.5,node 1
0,2.5,node 2
0,2.5,node 3
0,2.5,node 4
0,2.75,node 0
0,2.75,node 1
0,2.75,node 2
0,2.75,node 3
0,2.75,node 4
0,3.0,node 0
0,3.0,node 1
0,3.0,node 2
0,3.0,node 3
0,3.0,node 4
0,3.25,node 0
0,3.25,node 1
0,3.25,node 2
0,3.25,node 3
0,3.25,node 4
0,3.5,node 0
0,3.5,node 1
0,3.5,node 2
0,3.5,node 3
0,3.5,node 4
0,3.75,node 0
0,3.75,node 1
0,3.75,node 2
0,3.75,node 3
0,3.75,node 4
0,4.0,node 0
0,4.0,node 1
0,4.0,node 2
0,4.0,node 3
0,4.0,node 4
0,4.25,node 0
0,4.25,node 1
0,4.25,node 2
0,4.25,node 3
0,4.25,node 4
0,4.5,node 0
0,4.5,node 1
0,4.5,node 2
0,4.5,node 3
0,4.5,node 4
0,4.75,node 0
0,4.75,node 1
0,4.75,node 2
0,4.75,node 3
0,4.75,node 4
0,5.0,node 0
0,5.0,node 1
0,5.0,node 2
0,5.0,node 3
0,5.0,node 4
0,5.25,node 0
0,5.25,node 1
0,5.25,node 2
0,5.25,node 3
0,5.25,node 4
0.05681249999999999,5.5,node 0
0,5.5,node 1
0,5.5,node 2
0,5.5,node 3
0,5.5,node 4
0.12643749999999998,5.75,node 0
0,5.75,node 1
0,5.75,node 2
0,5.75,node 3
0,5.75,node 4
0.4696249999999998,6.0,node 0
0,6.0,node 1
0,6.0,node 2
0,6.0,node 3
0,6.0,node 4
0.8489374999999995,6.25,node 0
0,6.25,node 1
0,6.25,node 2
0,6.25,node 3
0,6.25,node 4
0.9753749999999993,6.5,node 0
0,6.5,node 1
0,6.5,node 2
0,6.5,node 3
0,6.5,node 4
0.9753749999999993,6.75,node 0
0,6.75,node 1
0,6.75,node 2
0,6.75,node 3
0,6.75,node 4
0.9753749999999993,7.0,node 0
0,7.0,node 1
0,7.0,node 2
0,7.0,node 3
0,7.0,node 4
0.9753749999999993,7.25,node 0
0,7.25,node 1
0,7.25,node 2
0,7.25,node 3
0,7.25,node 4
0.9753749999999993,7.5,node 0
0,7.5,node 1
0,7.5,node 2
0,7.5,node 3
0,7.5,node 4
0.9753749999999993,7.75,node 0
0,7.75,node 1
0,7.75,node 2
0,7.75,node 3
0,7.75,node 4
0.9753749999999993,8.0,node 0
0,8.0,node 1
0,8.0,node 2
0,8.0,node 3
0,8.0,node 4
0.3431874999999999,8.25,node 0
0,8.25,node 1
0,8.25,node 2
0,8.25,node 3
0,8.25,node 4
0.6141249999999997,8.5,node 0
0,8.5,node 1
0,8.5,node 2
0,8.5,node 3
0,8.5,node 4
0.9753749999999993,8.75,node 0
0,8.75,node 1
0,8.75,node 2
0,8.75,node 3
0,8.75,node 4
0.9753749999999993,9.0,node 0
0,9.0,node 1
0,9.0,node 2
0,9.0,node 3
0,9.0,node 4
0.9753749999999993,9.25,node 0
0,9.25,node 1
0,9.25,node 2
0,9.25,node 3
0,9.25,node 4
0.9753749999999993,9.5,node 0
0,9.5,node 1
0,9.5,node 2
0,9.5,node 3
0,9.5,node 4
0.9753749999999993,9.75,node 0
0,9.75,node 1
0,9.75,node 2
0,9.75,node 3
0,9.75,node 4
0.9934374999999993,10.0,node 0
0,10.0,node 1
0,10.0,node 2
0,10.0,node 3
0,10.0,node 4
0.9753749999999993,10.25,node 0
0,10.25,node 1
0,10.25,node 2
0,10.25,node 3
0,10.25,node 4
0.9753749999999993,10.5,node 0
0,10.5,node 1
0,10.5,node 2
0,10.5,node 3
0,10.5,node 4
0.9753749999999993,10.75,node 0
0.0013125,10.75,node 1
0,10.75,node 2
0,10.75,node 3
0,10.75,node 4
0.9573124999999993,11.0,node 0
0.019375,11.0,node 1
0,11.0,node 2
0,11.0,node 3
0,11.0,node 4
0.9392499999999994,11.25,node 0
0.036125,11.25,node 1
0,11.25,node 2
0,11.25,node 3
0,11.25,node 4
0.9211874999999994,11.5,node 0
0.0541875,11.5,node 1
0,11.5,node 2
0,11.5,node 3
0,11.5,node 4
0.9211874999999994,11.75,node 0
0.0541875,11.75,node 1
0,11.75,node 2
0,11.75,node 3
0,11.75,node 4
0.9392499999999994,12.0,node 0
0.036125,12.0,node 1
0,12.0,node 2
0,12.0,node 3
0,12.0,node 4
0.9211874999999994,12.25,node 0
0.0541875,12.25,node 1
0,12.25,node 2
0,12.25,node 3
0,12.25,node 4
0.8308749999999995,12.5,node 0
0.1445,12.5,node 1
0,12.5,node 2
0,12.5,node 3
0,12.5,node 4
0.7947499999999995,12.75,node 0
0.180625,12.75,node 1
0,12.75,node 2
0,12.75,node 3
0,12.75,node 4
0.7947499999999995,13.0,node 0
0.180625,13.0,node 1
0,13.0,node 2
0,13.0,node 3
0,13.0,node 4
0.7044374999999996,13.25,node 0
0.2709375,13.25,node 1
0,13.25,node 2
0,13.25,node 3
0,13.25,node 4
0.6502499999999997,13.5,node 0
0.32512499999999994,13.5,node 1
0,13.5,node 2
0,13.5,node 3
0,13.5,node 4
0.7586249999999995,13.75,node 0
0.21675000000000003,13.75,node 1
0,13.75,node 2
0,13.75,node 3
0,13.75,node 4
0.4515624999999998,14.0,node 0
0.5238124999999998,14.0,node 1
0,14.0,node 2
0,14.0,node 3
0,14.0,node 4
0.6502499999999997,14.25,node 0
0.32512499999999994,14.25,node 1
0,14.25,node 2
0,14.25,node 3
0,14.25,node 4
0.4876874999999998,14.5,node 0
0.5057499999999998,14.5,node 1
0,14.5,node 2
0,14.5,node 3
0,14.5,node 4
0.5960624999999997,14.75,node 0
0.3793124999999999,14.75,node 1
0,14.75,node 2
0,14.75,node 3
0,14.75,node 4
0.6683124999999996,15.0,node 0
0.30706249999999996,15.0,node 1
0,15.0,node 2
0,15.0,node 3
0,15.0,node 4
0.9753749999999993,15.25,node 0
0,15.25,node 1
0,15.25,node 2
0,15.25,node 3
0,15.25,node 4
0.7224999999999996,15.5,node 0
0.252875,15.5,node 1
0.0013125,15.5,node 2
0,15.5,node 3
0,15.5,node 4
0.6321874999999997,15.75,node 0
0.32512499999999994,15.75,node 1
0.019375,15.75,node 2
0,15.75,node 3
0,15.75,node 4
0.6321874999999997,16.0,node 0
0.30706249999999996,16.0,node 1
0.036125,16.0,node 2
0,16.0,node 3
0,16.0,node 4
0.6502499999999997,16.25,node 0
0.2709375,16.25,node 1
0.0541875,16.25,node 2
0,16.25,node 3
0,16.25,node 4
0.8489374999999995,16.5,node 0
0.07225,16.5,node 1
0.0541875,16.5,node 2
0,16.5,node 3
0,16.5,node 4
0.7405624999999996,16.75,node 0
0.07225,16.75,node 1
0.1625625,16.75,node 2
0,16.75,node 3
0,16.75,node 4
0.6502499999999997,17.0,node 0
0.07225,17.0,node 1
0.252875,17.0,node 2
0,17.0,node 3
0,17.0,node 4
0.6683124999999996,17.25,node 0
0.07225,17.25,node 1
0.23481250000000004,17.25,node 2
0,17.25,node 3
0,17.25,node 4
0.6863749999999996,17.5,node 0
0.0541875,17.5,node 1
0.23481250000000004,17.5,node 2
0,17.5,node 3
0,17.5,node 4
0.5238124999999998,17.75,node 0
0.036125,17.75,node 1
0.41543749999999985,17.75,node 2
0,17.75,node 3
0,17.75,node 4
0.21675000000000003,18.0,node 0
0,18.0,node 1
0.7586249999999995,18.0,node 2
0,18.0,node 3
0,18.0,node 4
0.6502499999999997,18.25,node 0
0.07225,18.25,node 1
0.252875,18.25,node 2
0,18.25,node 3
0,18.25,node 4
0.09031249999999999,18.5,node 0
0,18.5,node 1
0.8850624999999994,18.5,node 2
0,18.5,node 3
0,18.5,node 4
0.5960624999999997,18.75,node 0
0.07225,18.75,node 1
0.32512499999999994,18.75,node 2
0,18.75,node 3
0,18.75,node 4
0.0180625,19.0,node 0
0,19.0,node 1
0.9573124999999993,19.0,node 2
0,19.0,node 3
0,19.0,node 4
0.7044374999999996,19.25,node 0
0.07225,19.25,node 1
0.19868750000000002,19.25,node 2
0,19.25,node 3
0,19.25,node 4
0.2709375,19.5,node 0
0,19.5,node 1
0.7044374999999996,19.5,node 2
0,19.5,node 3
0,19.5,node 4
0.7405624999999996,19.75,node 0
0.07225,19.75,node 1
0.1625625,19.75,node 2
0,19.75,node 3
0,19.75,node 4
0.8128124999999995,20.0,node 0
0.09031249999999999,20.0,node 1
0.07225,20.0,node 2
0,20.0,node 3
0,20.0,node 4
0.7766874999999995,20.25,node 0
0.12643749999999998,20.25,node 1
0.07225,20.25,node 2
0,20.25,node 3
0,20.25,node 4
0.8308749999999995,20.5,node 0
0.07225,20.5,node 1
0.07225,20.5,node 2
0.0013125,20.5,node 3
0,20.5,node 4
0.7766874999999995,20.75,node 0
0.10837499999999999,20.75,node 1
0.07225,20.75,node 2
0.019375,20.75,node 3
0,20.75,node 4
0.7947499999999995,21.0,node 0
0.07225,21.0,node 1
0.07225,21.0,node 2
0.036125,21.0,node 3
0,21.0,node 4
0.7947499999999995,21.25,node 0
0.07225,21.25,node 1
0.0541875,21.25,node 2
0.0541875,21.25,node 3
0,21.25,node 4
0.8128124999999995,21.5,node 0
0.07225,21.5,node 1
0.036125,21.5,node 2
0.0541875,21.5,node 3
0,21.5,node 4
0.7405624999999996,21.75,node 0
0.07225,21.75,node 1
0.07225,21.75,node 2
0.09031249999999999,21.75,node 3
0,21.75,node 4
0.6863749999999996,22.0,node 0
0.07225,22.0,node 1
0.07225,22.0,node 2
0.1445,22.0,node 3
0,22.0,node 4
0.6502499999999997,22.25,node 0
0,22.25,node 1
0.07225,22.25,node 2
0.252875,22.25,node 3
0,22.25,node 4
0.7044374999999996,22.5,node 0
0.07225,22.5,node 1
0.07225,22.5,node 2
0.12643749999999998,22.5,node 3
0,22.5,node 4
0.180625,22.75,node 0
0.5418749999999998,22.75,node 1
0,22.75,node 2
0.252875,22.75,node 3
0,22.75,node 4
0.5779999999999997,23.0,node 0
0.1625625,23.0,node 1
0.07225,23.0,node 2
0.1625625,23.0,node 3
0,23.0,node 4
0.252875,23.25,node 0
0.3793124999999999,23.25,node 1
0,23.25,node 2
0.3612499999999999,23.25,node 3
0,23.25,node 4
0.5599374999999998,23.5,node 0
0.30706249999999996,23.5,node 1
0.07225,23.5,node 2
0.036125,23.5,node 3
0,23.5,node 4
0.2709375,23.75,node 0
0.21675000000000003,23.75,node 1
0,23.75,node 2
0.4876874999999998,23.75,node 3
0,23.75,node 4
0.43349999999999983,24.0,node 0
0.4876874999999998,24.0,node 1
0.0180625,24.0,node 2
0.036125,24.0,node 3
0,24.0,node 4
0.2709375,24.25,node 0
0.5599374999999998,24.25,node 1
0.0541875,24.25,node 2
0.09031249999999999,24.25,node 3
0,24.25,node 4
0.41543749999999985,24.5,node 0
0.3431874999999999,24.5,node 1
0.07225,24.5,node 2
0.1445,24.5,node 3
0,24.5,node 4
0.30706249999999996,24.75,node 0
0.5057499999999998,24.75,node 1
0.07225,24.75,node 2
0.09031249999999999,24.75,node 3
0,24.75,node 4
0.12643749999999998,25.0,node 0
0.7405624999999996,25.0,node 1
0,25.0,node 2
0.10837499999999999,25.0,node 3
0,25.0,node 4
0.39737499999999987,25.25,node 0
0.3793124999999999,25.25,node 1
0.0541875,25.25,node 2
0.1445,25.25,node 3
0,25.25,node 4
0.43349999999999983,25.5,node 0
0.3793124999999999,25.5,node 1
0.036125,25.5,node 2
0.12643749999999998,25.5,node 3
0,25.5,node 4
0.1625625,25.75,node 0
0.7044374999999996,25.75,node 1
0,25.75,node 2
0.10837499999999999,25.75,node 3
0.0013125,25.75,node 4
0.289,26.0,node 0
0.41543749999999985,26.0,node 1
0.07225,26.0,node 2
0.180625,26.0,node 3
0.019375,26.0,node 4
0.39737499999999987,26.25,node 0
0.3431874999999999,26.25,node 1
0.07225,26.25,node 2
0.1625625,26.25,node 3
0,26.25,node 4
0.07225,26.5,node 0
0.7766874999999995,26.5,node 1
0,26.5,node 2
0.09031249999999999,26.5,node 3
0.036125,26.5,node 4
0.43349999999999983,26.75,node 0
0.21675000000000003,26.75,node 1
0.07225,26.75,node 2
0.23481250000000004,26.75,node 3
0.0180625,26.75,node 4
0.289,27.0,node 0
0.5418749999999998,27.0,node 1
0.07225,27.0,node 2
0.036125,27.0,node 3
0.036125,27.0,node 4
0.180625,27.25,node 0
0.5057499999999998,27.25,node 1
0,27.25,node 2
0.23481250000000004,27.25,node 3
0.0541875,27.25,node 4
0.39737499999999987,27.5,node 0
0.2709375,27.5,node 1
0.07225,27.5,node 2
0.21675000000000003,27.5,node 3
0.036125,27.5,node 4
0.09031249999999999,27.75,node 0
0.7947499999999995,27.75,node 1
0,27.75,node 2
0.036125,27.75,node 3
0.0541875,27.75,node 4
0.4696249999999998,28.0,node 0
0.21675000000000003,28.0,node 1
0.07225,28.0,node 2
0.07225,28.0,node 3
0.1445,28.0,node 4
0.21675000000000003,28.25,node 0
0.5960624999999997,28.25,node 1
0,28.25,node 2
0,28.25,node 3
0.1625625,28.25,node 4
0.289,28.5,node 0
0.4876874999999998,28.5,node 1
0.07225,28.5,node 2
0.07225,28.5,node 3
0.0541875,28.5,node 4
0.3431874999999999,28.75,node 0
0.30706249999999996,28.75,node 1
0.07225,28.75,node 2
0,28.75,node 3
0.252875,28.75,node 4
0.1625625,29.0,node 0
0.6321874999999997,29.0,node 1
0,29.0,node 2
0.07225,29.0,node 3
0.10837499999999999,29.0,node 4
0.3431874999999999,29.25,node 0
0.180625,29.25,node 1
0.07225,29.25,node 2
0,29.25,node 3
0.3793124999999999,29.25,node 4
0.180625,29.5,node 0
0.5599374999999998,29.5,node 1
0,29.5,node 2
0.07225,29.5,node 3
0.1625625,29.5,node 4
0.23481250000000004,29.75,node 0
0.252875,29.75,node 1
0,29.75,node 2
0,29.75,node 3
0.4876874999999998,29.75,node 4
0.2709375,30.0,node 0
0.3612499999999999,30.0,node 1
0.07225,30.0,node 2
0.07225,30.0,node 3
0.19868750000000002,30.0,node 4
0.19868750000000002,30.25,node 0
0.41543749999999985,30.25,node 1
0,30.25,node 2
0,30.25,node 3
0.3612499999999999,30.25,node 4
0.3431874999999999,30.5,node 0
0.3793124999999999,30.5,node 1
0.07225,30.5,node 2
0.07225,30.5,node 3
0.10837499999999999,30.5,node 4
0.43349999999999983,30.75,node 0
0.0180625,30.75,node 1
0.07225,30.75,node 2
0.23481250000000004,30.75,node 3
0.21675000000000003,30.75,node 4
0.289,31.0,node 0
0.3793124999999999,31.0,node 1
0,31.0,node 2
0.180625,31.0,node 3
0.12643749999999998,31.0,node 4
0.3612499999999999,31.25,node 0
0.0541875,31.25,node 1
0.07225,31.25,node 2
0.39737499999999987,31.25,node 3
0.10837499999999999,31.25,node 4
0.2709375,31.5,node 0
0.3793124999999999,31.5,node 1
0.036125,31.5,node 2
0.036125,31.5,node 3
0.252875,31.5,node 4
0.289,31.75,node 0
0.252875,31.75,node 1
0.036125,31.75,node 2
0.39737499999999987,31.75,node 3
0,31.75,node 4
0.43349999999999983,32.0,node 0
0.1625625,32.0,node 1
0.07225,32.0,node 2
0.036125,32.0,node 3
0.2709375,32.0,node 4
0.19868750000000002,32.25,node 0
0.3793124999999999,32.25,node 1
0,32.25,node 2
0.39737499999999987,32.25,node 3
0,32.25,node 4
0.3612499999999999,32.5,node 0
0.036125,32.5,node 1
0.07225,32.5,node 2
0.21675000000000003,32.5,node 3
0.289,32.5,node 4
0.32512499999999994,32.75,node 0
0.39737499999999987,32.75,node 1
0,32.75,node 2
0.23481250000000004,32.75,node 3
0.0180625,32.75,node 4
0.252875,33.0,node 0
0.036125,33.0,node 1
0.07225,33.0,node 2
0.32512499999999994,33.0,node 3
0.289,33.0,node 4
0.3431874999999999,33.25,node 0
0.41543749999999985,33.25,node 1
0,33.25,node 2
0.12643749999999998,33.25,node 3
0.09031249999999999,33.25,node 4
0.289,33.5,node 0
0.036125,33.5,node 1
0.07225,33.5,node 2
0.4515624999999998,33.5,node 3
0.12643749999999998,33.5,node 4
0.3612499999999999,33.75,node 0
0.43349999999999983,33.75,node 1
0.07225,33.75,node 2
0.036125,33.75,node 3
0.07225,33.75,node 4
0.32512499999999994,34.0,node 0
0.21675000000000003,34.0,node 1
0,34.0,node 2
0.43349999999999983,34.0,node 3
0,34.0,node 4
0.4515624999999998,34.25,node 0
0.21675000000000003,34.25,node 1
0.07225,34.25,node 2
0.1625625,34.25,node 3
0.07225,34.25,node 4
0.23481250000000004,34.5,node 0
0.41543749999999985,34.5,node 1
0,34.5,node 2
0.32512499999999994,34.5,node 3
0,34.5,node 4
0.3793124999999999,34.75,node 0
0.036125,34.75,node 1
0.07225,34.75,node 2
0.41543749999999985,34.75,node 3
0.07225,34.75,node 4
0.39737499999999987,35.0,node 0
0.41543749999999985,35.0,node 1
0,35.0,node 2
0.10837499999999999,35.0,node 3
0.07225,35.0,node 4
0.23481250000000004,35.25,node 0
0.036125,35.25,node 1
0.5057499999999998,35.25,node 2
0.19868750000000002,35.25,node 3
0,35.25,node 4
0.32512499999999994,35.5,node 0
0.41543749999999985,35.5,node 1
0,35.5,node 2
0.23481250000000004,35.5,node 3
0,35.5,node 4
0.289,35.75,node 0
0.036125,35.75,node 1
0.5057499999999998,35.75,node 2
0.07225,35.75,node 3
0.07225,35.75,node 4
0.4696249999999998,36.0,node 0
0.19868750000000002,36.0,node 1
0.0180625,36.0,node 2
0.21675000000000003,36.0,node 3
0.07225,36.0,node 4
0.5238124999999998,36.25,node 0
0.180625,36.25,node 1
0.0180625,36.25,node 2
0.252875,36.25,node 3
0,36.25,node 4
0.43349999999999983,36.5,node 0
0.21675000000000003,36.5,node 1
0.036125,36.5,node 2
0.21675000000000003,36.5,node 3
0.07225,36.5,node 4
0.5238124999999998,36.75,node 0
0.036125,36.75,node 1
0.07225,36.75,node 2
0.2709375,36.75,node 3
0.07225,36.75,node 4
0.4876874999999998,37.0,node 0
0.23481250000000004,37.0,node 1
0.1445,37.0,node 2
0.036125,37.0,node 3
0.07225,37.0,node 4
0.5238124999999998,37.25,node 0
0.21675000000000003,37.25,node 1
0,37.25,node 2
0.23481250000000004,37.25,node 3
0,37.25,node 4
0.12643749999999998,37.5,node 0
0.036125,37.5,node 1
0.289,37.5,node 2
0.0180625,37.5,node 3
0.5057499999999998,37.5,node 4
0.5238124999999998,37.75,node 0
0.23481250000000004,37.75,node 1
0,37.75,node 2
0.21675000000000003,37.75,node 3
0,37.75,node 4
0.09031249999999999,38.0,node 0
0.036125,38.0,node 1
0.289,38.0,node 2
0.036125,38.0,node 3
0.5238124999999998,38.0,node 4
0.41543749999999985,38.25,node 0
0.21675000000000003,38.25,node 1
0.12643749999999998,38.25,node 2
0.21675000000000003,38.25,node 3
0,38.25,node 4
0.2709375,38.5,node 0
0.0541875,38.5,node 1
0.10837499999999999,38.5,node 2
0.036125,38.5,node 3
0.5057499999999998,38.5,node 4
0.5418749999999998,38.75,node 0
0.23481250000000004,38.75,node 1
0.09031249999999999,38.75,node 2
0.09031249999999999,38.75,node 3
0.0180625,38.75,node 4
0.23481250000000004,39.0,node 0
0.036125,39.0,node 1
0.1625625,39.0,node 2
0.0541875,39.0,node 3
0.5057499999999998,39.0,node 4
0.39737499999999987,39.25,node 0
0.252875,39.25,node 1
0.0541875,39.25,node 2
0.2709375,39.25,node 3
0,39.25,node 4
0.21675000000000003,39.5,node 0
0.036125,39.5,node 1
0.1445,39.5,node 2
0.036125,39.5,node 3
0.5418749999999998,39.5,node 4
0.39737499999999987,39.75,node 0
0.180625,39.75,node 1
0.09031249999999999,39.75,node 2
0.30706249999999996,39.75,node 3
0,39.75,node 4
0.30706249999999996,40.0,node 0
0.09031249999999999,40.0,node 1
0,40.0,node 2
0.036125,40.0,node 3
0.5418749999999998,40.0,node 4
0.39737499999999987,40.25,node 0
0.10837499999999999,40.25,node 1
0.1625625,40.25,node 2
0.30706249999999996,40.25,node 3
0,40.25,node 4
0.252875,40.5,node 0
0.180625,40.5,node 1
0.09031249999999999,40.5,node 2
0.036125,40.5,node 3
0.41543749999999985,40.5,node 4
0.3431874999999999,40.75,node 0
0.036125,40.75,node 1
0.1625625,40.75,node 2
0.30706249999999996,40.75,node 3
0.12643749999999998,40.75,node 4
0.3793124999999999,41.0,node 0
0.252875,41.0,node 1
0.09031249999999999,41.0,node 2
0.036125,41.0,node 3
0.21675000000000003,41.0,node 4
0.43349999999999983,41.25,node 0
0.0180625,41.25,node 1
0.1625625,41.25,node 2
0.30706249999999996,41.25,node 3
0.0541875,41.25,node 4
0.252875,41.5,node 0
0.1445,41.5,node 1
0.252875,41.5,node 2
0.0541875,41.5,node 3
0.2709375,41.5,node 4
0.30706249999999996,41.75,node 0
0.23481250000000004,41.75,node 1
0.09031249999999999,41.75,node 2
0.32512499999999994,41.75,node 3
0.0180625,41.75,node 4
0.180625,42.0,node 0
0.0180625,42.0,node 1
0.180625,42.0,node 2
0.32512499999999994,42.0,node 3
0.2709375,42.0,node 4
0.41543749999999985,42.25,node 0
0.19868750000000002,42.25,node 1
0.036125,42.25,node 2
0.036125,42.25,node 3
0.289,42.25,node 4
0.43349999999999983,42.5,node 0
0.0541875,42.5,node 1
0.07225,42.5,node 2
0.10837499999999999,42.5,node 3
0.30706249999999996,42.5,node 4
0.39737499999999987,42.75,node 0
0.0541875,42.75,node 1
0.1445,42.75,node 2
0.10837499999999999,42.75,node 3
