bytes,time,node
0,0,node 0
0,0,node 1
0,0,node 2
0,0,node 3
0,0,node 4
0,0.25,node 0
0,0.25,node 1
0,0.25,node 2
0,0.25,node 3
0,0.25,node 4
0,0.5,node 0
0,0.5,node 1
0,0.5,node 2
0,0.5,node 3
0,0.5,node 4
0,0.75,node 0
0,0.75,node 1
0,0.75,node 2
0,0.75,node 3
0,0.75,node 4
0,1.0,node 0
0,1.0,node 1
0,1.0,node 2
0,1.0,node 3
0,1.0,node 4
0,1.25,node 0
0,1.25,node 1
0,1.25,node 2
0,1.25,node 3
0,1.25,node 4
0,1.5,node 0
0,1.5,node 1
0,1.5,node 2
0,1.5,node 3
0,1.5,node 4
0,1.75,node 0
0,1.75,node 1
0,1.75,node 2
0,1.75,node 3
0,1.75,node 4
0,2.0,node 0
0,2.0,node 1
0,2.0,node 2
0,2.0,node 3
0,2.0,node 4
0,2.25,node 0
0,2.25,node 1
0,2.25,node 2
0,2.25,node 3
0,2.25,node 4
0,2.5,node 0
0,2.5,node 1
0,2.5,node 2
0,2.5,node 3
0,2.5,node 4
0,2.75,node 0
0,2.75,node 1
0,2.75,node 2
0,2.75,node 3
0,2.75,node 4
0,3.0,node 0
0,3.0,node 1
0,3.0,node 2
0,3.0,node 3
0,3.0,node 4
0,3.25,node 0
0,3.25,node 1
0,3.25,node 2
0,3.25,node 3
0,3.25,node 4
0,3.5,node 0
0,3.5,node 1
0,3.5,node 2
0,3.5,node 3
0,3.5,node 4
0,3.75,node 0
0,3.75,node 1
0,3.75,node 2
0,3.75,node 3
0,3.75,node 4
0,4.0,node 0
0,4.0,node 1
0,4.0,node 2
0,4.0,node 3
0,4.0,node 4
0,4.25,node 0
0,4.25,node 1
0,4.25,node 2
0,4.25,node 3
0,4.25,node 4
0,4.5,node 0
0,4.5,node 1
0,4.5,node 2
0,4.5,node 3
0,4.5,node 4
0,4.75,node 0
0,4.75,node 1
0,4.75,node 2
0,4.75,node 3
0,4.75,node 4
0,5.0,node 0
0,5.0,node 1
0,5.0,node 2
0,5.0,node 3
0,5.0,node 4
0,5.25,node 0
0,5.25,node 1
0,5.25,node 2
0,5.25,node 3
0,5.25,node 4
14.543999999999997,5.5,node 0
0,5.5,node 1
0,5.5,node 2
0,5.5,node 3
0,5.5,node 4
46.912,5.75,node 0
0,5.75,node 1
0,5.75,node 2
0,5.75,node 3
0,5.75,node 4
167.1359999999999,6.0,node 0
0,6.0,node 1
0,6.0,node 2
0,6.0,node 3
0,6.0,node 4
384.46400000000045,6.25,node 0
0,6.25,node 1
0,6.25,node 2
0,6.25,node 3
0,6.25,node 4
634.1600000000017,6.5,node 0
0,6.5,node 1
0,6.5,node 2
0,6.5,node 3
0,6.5,node 4
883.856000000003,6.75,node 0
0,6.75,node 1
0,6.75,node 2
0,6.75,node 3
0,6.75,node 4
1133.5520000000042,7.0,node 0
0,7.0,node 1
0,7.0,node 2
0,7.0,node 3
0,7.0,node 4
1383.2480000000055,7.25,node 0
0,7.25,node 1
0,7.25,node 2
0,7.25,node 3
0,7.25,node 4
1632.9440000000068,7.5,node 0
0,7.5,node 1
0,7.5,node 2
0,7.5,node 3
0,7.5,node 4
1882.640000000008,7.75,node 0
0,7.75,node 1
0,7.75,node 2
0,7.75,node 3
0,7.75,node 4
2132.3360000000052,8.0,node 0
0,8.0,node 1
0,8.0,node 2
0,8.0,node 3
0,8.0,node 4
2220.1920000000014,8.25,node 0
0,8.25,node 1
0,8.25,node 2
0,8.25,node 3
0,8.25,node 4
2377.4079999999944,8.5,node 0
0,8.5,node 1
0,8.5,node 2
0,8.5,node 3
0,8.5,node 4
2627.1039999999834,8.75,node 0
0,8.75,node 1
0,8.75,node 2
0,8.75,node 3
0,8.75,node 4
2876.7999999999724,9.0,node 0
0,9.0,node 1
0,9.0,node 2
0,9.0,node 3
0,9.0,node 4
3126.4959999999614,9.25,node 0
0,9.25,node 1
0,9.25,node 2
0,9.25,node 3
0,9.25,node 4
3376.1919999999504,9.5,node 0
0,9.5,node 1
0,9.5,node 2
0,9.5,node 3
0,9.5,node 4
3625.8879999999394,9.75,node 0
0,9.75,node 1
0,9.75,node 2
0,9.75,node 3
0,9.75,node 4
3880.2079999999282,10.0,node 0
0,10.0,node 1
0,10.0,node 2
0,10.0,node 3
0,10.0,node 4
4129.903999999918,10.25,node 0
0,10.25,node 1
0,10.25,node 2
0,10.25,node 3
0,10.25,node 4
4379.599999999907,10.5,node 0
0,10.5,node 1
0,10.5,node 2
0,10.5,node 3
0,10.5,node 4
4629.295999999896,10.75,node 0
0.336,10.75,node 1
0,10.75,node 2
0,10.75,node 3
0,10.75,node 4
4874.367999999885,11.0,node 0
5.295999999999999,11.0,node 1
0,11.0,node 2
0,11.0,node 3
0,11.0,node 4
5114.815999999874,11.25,node 0
14.543999999999997,11.25,node 1
0,11.25,node 2
0,11.25,node 3
0,11.25,node 4
5350.639999999864,11.5,node 0
28.415999999999993,11.5,node 1
0,11.5,node 2
0,11.5,node 3
0,11.5,node 4
5586.4639999998535,11.75,node 0
42.288,11.75,node 1
0,11.75,node 2
0,11.75,node 3
0,11.75,node 4
5826.911999999843,12.0,node 0
51.536,12.0,node 1
0,12.0,node 2
0,12.0,node 3
0,12.0,node 4
6062.7359999998325,12.25,node 0
65.408,12.25,node 1
0,12.25,node 2
0,12.25,node 3
0,12.25,node 4
6275.439999999823,12.5,node 0
102.39999999999996,12.5,node 1
0,12.5,node 2
0,12.5,node 3
0,12.5,node 4
6478.895999999814,12.75,node 0
148.63999999999993,12.75,node 1
0,12.75,node 2
0,12.75,node 3
0,12.75,node 4
6682.351999999805,13.0,node 0
194.87999999999988,13.0,node 1
0,13.0,node 2
0,13.0,node 3
0,13.0,node 4
6862.687999999797,13.25,node 0
264.23999999999984,13.25,node 1
0,13.25,node 2
0,13.25,node 3
0,13.25,node 4
7029.15199999979,13.5,node 0
347.47200000000026,13.5,node 1
0,13.5,node 2
0,13.5,node 3
0,13.5,node 4
7223.359999999781,13.75,node 0
402.96000000000055,13.75,node 1
0,13.75,node 2
0,13.75,node 3
0,13.75,node 4
7338.959999999776,14.0,node 0
537.0560000000012,14.0,node 1
0,14.0,node 2
0,14.0,node 3
0,14.0,node 4
7505.423999999769,14.25,node 0
620.2880000000016,14.25,node 1
0,14.25,node 2
0,14.25,node 3
0,14.25,node 4
7630.2719999997635,14.5,node 0
749.7600000000023,14.5,node 1
0,14.5,node 2
0,14.5,node 3
0,14.5,node 4
7782.863999999757,14.75,node 0
846.8640000000028,14.75,node 1
0,14.75,node 2
0,14.75,node 3
0,14.75,node 4
7953.951999999749,15.0,node 0
925.4720000000032,15.0,node 1
0,15.0,node 2
0,15.0,node 3
0,15.0,node 4
8203.64799999974,15.25,node 0
925.4720000000032,15.25,node 1
0,15.25,node 2
0,15.25,node 3
0,15.25,node 4
8388.607999999731,15.5,node 0
990.2080000000035,15.5,node 1
0.336,15.5,node 2
0,15.5,node 3
0,15.5,node 4
8550.447999999724,15.75,node 0
1073.440000000004,15.75,node 1
5.295999999999999,15.75,node 2
0,15.75,node 3
0,15.75,node 4
8712.287999999717,16.0,node 0
1152.0480000000043,16.0,node 1
14.543999999999997,16.0,node 2
0,16.0,node 3
0,16.0,node 4
8878.75199999971,16.25,node 0
1221.4080000000047,16.25,node 1
28.415999999999993,16.25,node 2
0,16.25,node 3
0,16.25,node 4
9096.0799999997,16.5,node 0
1239.9040000000048,16.5,node 1
42.288,16.5,node 2
0,16.5,node 3
0,16.5,node 4
9285.663999999691,16.75,node 0
1258.4000000000049,16.75,node 1
83.90399999999998,16.75,node 2
0,16.75,node 3
0,16.75,node 4
9452.127999999684,17.0,node 0
1276.896000000005,17.0,node 1
148.63999999999993,17.0,node 2
0,17.0,node 3
0,17.0,node 4
9623.215999999677,17.25,node 0
1295.392000000005,17.25,node 1
208.75199999999987,17.25,node 2
0,17.25,node 3
0,17.25,node 4
9798.927999999669,17.5,node 0
1309.2640000000051,17.5,node 1
268.86399999999986,17.5,node 2
0,17.5,node 3
0,17.5,node 4
9933.023999999663,17.75,node 0
1318.5120000000052,17.75,node 1
375.2160000000004,17.75,node 2
0,17.75,node 3
0,17.75,node 4
9988.51199999966,18.0,node 0
1318.5120000000052,18.0,node 1
569.4240000000013,18.0,node 2
0,18.0,node 3
0,18.0,node 4
10154.975999999653,18.25,node 0
1337.0080000000053,18.25,node 1
634.1600000000017,18.25,node 2
0,18.25,node 3
0,18.25,node 4
10178.095999999652,18.5,node 0
1337.0080000000053,18.5,node 1
860.7360000000028,18.5,node 2
0,18.5,node 3
0,18.5,node 4
10330.687999999645,18.75,node 0
1355.5040000000054,18.75,node 1
943.9680000000033,18.75,node 2
0,18.75,node 3
0,18.75,node 4
10335.311999999645,19.0,node 0
1355.5040000000054,19.0,node 1
1189.0400000000045,19.0,node 2
0,19.0,node 3
0,19.0,node 4
10515.647999999637,19.25,node 0
1374.0000000000055,19.25,node 1
1239.9040000000048,19.25,node 2
0,19.25,node 3
0,19.25,node 4
10585.007999999634,19.5,node 0
1374.0000000000055,19.5,node 1
1420.2400000000057,19.5,node 2
0,19.5,node 3
0,19.5,node 4
10774.591999999626,19.75,node 0
1392.4960000000056,19.75,node 1
1461.856000000006,19.75,node 2
0,19.75,node 3
0,19.75,node 4
10982.671999999617,20.0,node 0
1415.6160000000057,20.0,node 1
1480.352000000006,20.0,node 2
0,20.0,node 3
0,20.0,node 4
11181.503999999608,20.25,node 0
1447.9840000000058,20.25,node 1
1498.848000000006,20.25,node 2
0,20.25,node 3
0,20.25,node 4
11394.207999999599,20.5,node 0
1466.480000000006,20.5,node 1
1517.3440000000062,20.5,node 2
0.336,20.5,node 3
0,20.5,node 4
11593.03999999959,20.75,node 0
1494.224000000006,20.75,node 1
1535.8400000000063,20.75,node 2
5.295999999999999,20.75,node 3
0,20.75,node 4
11796.49599999958,21.0,node 0
1512.7200000000062,21.0,node 1
1554.3360000000064,21.0,node 2
14.543999999999997,21.0,node 3
0,21.0,node 4
11999.951999999572,21.25,node 0
1531.2160000000063,21.25,node 1
1568.2080000000065,21.25,node 2
28.415999999999993,21.25,node 3
0,21.25,node 4
12208.031999999563,21.5,node 0
1549.7120000000064,21.5,node 1
1577.4560000000065,21.5,node 2
42.288,21.5,node 3
0,21.5,node 4
12397.615999999554,21.75,node 0
1568.2080000000065,21.75,node 1
1595.9520000000066,21.75,node 2
65.408,21.75,node 3
0,21.75,node 4
12573.327999999547,22.0,node 0
1586.7040000000065,22.0,node 1
1614.4480000000067,22.0,node 2
102.39999999999996,22.0,node 3
0,22.0,node 4
12739.79199999954,22.25,node 0
1586.7040000000065,22.25,node 1
1632.9440000000068,22.25,node 2
167.1359999999999,22.25,node 3
0,22.25,node 4
12920.127999999531,22.5,node 0
1605.2000000000066,22.5,node 1
1651.4400000000069,22.5,node 2
199.50399999999988,22.5,node 3
0,22.5,node 4
12966.36799999953,22.75,node 0
1743.9200000000073,22.75,node 1
1651.4400000000069,22.75,node 2
264.23999999999984,22.75,node 3
0,22.75,node 4
13114.335999999523,23.0,node 0
1785.5360000000076,23.0,node 1
1669.936000000007,23.0,node 2
305.85600000000005,23.0,node 3
0,23.0,node 4
13179.07199999952,23.25,node 0
1882.640000000008,23.25,node 1
1669.936000000007,23.25,node 2
398.3360000000005,23.25,node 3
0,23.25,node 4
13322.415999999514,23.5,node 0
1961.2480000000085,23.5,node 1
1688.432000000007,23.5,node 2
407.5840000000006,23.5,node 3
0,23.5,node 4
13391.77599999951,23.75,node 0
2016.7360000000087,23.75,node 1
1688.432000000007,23.75,node 2
532.4320000000012,23.75,node 3
0,23.75,node 4
13502.751999999506,24.0,node 0
2141.584000000005,24.0,node 1
1693.056000000007,24.0,node 2
541.6800000000012,24.0,node 3
0,24.0,node 4
13572.111999999503,24.25,node 0
2284.9279999999985,24.25,node 1
1706.9280000000072,24.25,node 2
564.8000000000013,24.25,node 3
0,24.25,node 4
13678.463999999498,24.5,node 0
2372.7839999999946,24.5,node 1
1725.4240000000073,24.5,node 2
601.7920000000015,24.5,node 3
0,24.5,node 4
13757.071999999494,24.75,node 0
2502.255999999989,24.75,node 1
1743.9200000000073,24.75,node 2
624.9120000000016,24.75,node 3
0,24.75,node 4
13789.439999999493,25.0,node 0
2691.8399999999806,25.0,node 1
1743.9200000000073,25.0,node 2
652.6560000000018,25.0,node 3
0,25.0,node 4
13891.167999999489,25.25,node 0
2788.9439999999763,25.25,node 1
1757.7920000000074,25.25,node 2
689.648000000002,25.25,node 3
0,25.25,node 4
14002.143999999484,25.5,node 0
2886.047999999972,25.5,node 1
1767.0400000000075,25.5,node 2
722.0160000000021,25.5,node 3
0,25.5,node 4
14043.759999999482,25.75,node 0
3066.383999999964,25.75,node 1
1767.0400000000075,25.75,node 2
749.7600000000023,25.75,node 3
0.336,25.75,node 4
14117.743999999479,26.0,node 0
3172.7359999999594,26.0,node 1
1785.5360000000076,26.0,node 2
796.0000000000025,26.0,node 3
5.295999999999999,26.0,node 4
14219.471999999474,26.25,node 0
3260.5919999999555,26.25,node 1
1804.0320000000077,26.25,node 2
837.6160000000027,26.25,node 3
5.295999999999999,26.25,node 4
14237.967999999473,26.5,node 0
3459.423999999947,26.5,node 1
1804.0320000000077,26.5,node 2
860.7360000000028,26.5,node 3
14.543999999999997,26.5,node 4
14348.943999999468,26.75,node 0
3514.9119999999443,26.75,node 1
1822.5280000000078,26.75,node 2
920.8480000000031,26.75,node 3
19.167999999999996,26.75,node 4
14422.927999999465,27.0,node 0
3653.631999999938,27.0,node 1
1841.0240000000078,27.0,node 2
930.0960000000032,27.0,node 3
28.415999999999993,27.0,node 4
14469.167999999463,27.25,node 0
3783.1039999999325,27.25,node 1
1841.0240000000078,27.25,node 2
990.2080000000035,27.25,node 3
42.288,27.25,node 4
14570.895999999459,27.5,node 0
3852.4639999999295,27.5,node 1
1859.520000000008,27.5,node 2
1045.6960000000038,27.5,node 3
51.536,27.5,node 4
14594.015999999458,27.75,node 0
4055.9199999999205,27.75,node 1
1859.520000000008,27.75,node 2
1054.9440000000038,27.75,node 3
65.408,27.75,node 4
14714.239999999452,28.0,node 0
4111.4079999999185,28.0,node 1
1878.016000000008,28.0,node 2
1073.440000000004,28.0,node 3
102.39999999999996,28.0,node 4
14769.72799999945,28.25,node 0
4263.999999999912,28.25,node 1
1878.016000000008,28.25,node 2
1073.440000000004,28.25,node 3
144.01599999999993,28.25,node 4
14843.711999999447,28.5,node 0
4388.847999999906,28.5,node 1
1896.5120000000081,28.5,node 2
1091.936000000004,28.5,node 3
157.88799999999992,28.5,node 4
14931.567999999443,28.75,node 0
4467.455999999903,28.75,node 1
1915.0080000000082,28.75,node 2
1091.936000000004,28.75,node 3
222.62399999999985,28.75,node 4
14973.18399999944,29.0,node 0
4629.295999999896,29.0,node 1
1915.0080000000082,29.0,node 2
1110.432000000004,29.0,node 3
250.36799999999982,29.0,node 4
15061.039999999437,29.25,node 0
4675.535999999894,29.25,node 1
1933.5040000000083,29.25,node 2
1110.432000000004,29.25,node 3
347.47200000000026,29.25,node 4
15107.279999999435,29.5,node 0
4818.879999999887,29.5,node 1
1933.5040000000083,29.5,node 2
1128.9280000000042,29.5,node 3
389.0880000000005,29.5,node 4
15167.391999999432,29.75,node 0
4883.6159999998845,29.75,node 1
1933.5040000000083,29.75,node 2
1128.9280000000042,29.75,node 3
513.9360000000011,29.75,node 4
15236.75199999943,30.0,node 0
4976.09599999988,30.0,node 1
1952.0000000000084,30.0,node 2
1147.4240000000043,30.0,node 3
564.8000000000013,30.0,node 4
15287.615999999427,30.25,node 0
5082.447999999876,30.25,node 1
1952.0000000000084,30.25,node 2
1147.4240000000043,30.25,node 3
657.2800000000018,30.25,node 4
15375.471999999423,30.5,node 0
5179.551999999871,30.5,node 1
1970.4960000000085,30.5,node 2
1165.9200000000044,30.5,node 3
685.0240000000019,30.5,node 4
15486.447999999418,30.75,node 0
5184.175999999871,30.75,node 1
1988.9920000000086,30.75,node 2
1226.0320000000047,30.75,node 3
740.5120000000022,30.75,node 4
15560.431999999415,31.0,node 0
5281.279999999867,31.0,node 1
1988.9920000000086,31.0,node 2
1272.272000000005,31.0,node 3
772.8800000000024,31.0,node 4
15652.91199999941,31.25,node 0
5295.151999999866,31.25,node 1
2007.4880000000087,31.25,node 2
1374.0000000000055,31.25,node 3
800.6240000000025,31.25,node 4
15722.271999999408,31.5,node 0
5392.255999999862,31.5,node 1
2016.7360000000087,31.5,node 2
1383.2480000000055,31.5,node 3
865.3600000000029,31.5,node 4
15796.255999999405,31.75,node 0
5456.991999999859,31.75,node 1
2025.9840000000088,31.75,node 2
1484.976000000006,31.75,node 3
865.3600000000029,31.75,node 4
15907.2319999994,32.0,node 0
5498.607999999857,32.0,node 1
2044.4800000000089,32.0,node 2
1494.224000000006,32.0,node 3
934.7200000000032,32.0,node 4
15958.095999999397,32.25,node 0
5595.711999999853,32.25,node 1
2044.4800000000089,32.25,node 2
1595.9520000000066,32.25,node 3
934.7200000000032,32.25,node 4
16050.575999999393,32.5,node 0
5604.959999999853,32.5,node 1
2062.9760000000083,32.5,node 2
1651.4400000000069,32.5,node 3
1008.7040000000036,32.5,node 4
16133.80799999939,32.75,node 0
5706.687999999848,32.75,node 1
2062.9760000000083,32.75,node 2
1711.5520000000072,32.75,node 3
1013.3280000000036,32.75,node 4
16198.543999999387,33.0,node 0
5715.935999999848,33.0,node 1
2081.4720000000075,33.0,node 2
1794.7840000000076,33.0,node 3
1087.312000000004,33.0,node 4
16286.399999999383,33.25,node 0
5822.287999999843,33.25,node 1
2081.4720000000075,33.25,node 2
1827.1520000000078,33.25,node 3
1110.432000000004,33.25,node 4
16360.38399999938,33.5,node 0
5831.535999999843,33.5,node 1
2099.9680000000067,33.5,node 2
1942.7520000000084,33.5,node 3
1142.8000000000043,33.5,node 4
16452.863999999376,33.75,node 0
5942.511999999838,33.75,node 1
2118.464000000006,33.75,node 2
1952.0000000000084,33.75,node 3
1161.2960000000044,33.75,node 4
16536.095999999372,34.0,node 0
5997.999999999835,34.0,node 1
2118.464000000006,34.0,node 2
2062.9760000000083,34.0,node 3
1161.2960000000044,34.0,node 4
16651.695999999367,34.25,node 0
6053.487999999833,34.25,node 1
2136.960000000005,34.25,node 2
2104.5920000000065,34.25,node 3
1179.7920000000045,34.25,node 4
16711.807999999364,34.5,node 0
6159.839999999828,34.5,node 1
2136.960000000005,34.5,node 2
2187.824000000003,34.5,node 3
1179.7920000000045,34.5,node 4
16808.91199999936,34.75,node 0
6169.087999999828,34.75,node 1
2155.456000000004,34.75,node 2
2294.175999999998,34.75,node 3
1198.2880000000046,34.75,node 4
16910.639999999355,35.0,node 0
6275.439999999823,35.0,node 1
2155.456000000004,35.0,node 2
2321.919999999997,35.0,node 3
1216.7840000000047,35.0,node 4
16970.751999999353,35.25,node 0
6284.687999999823,35.25,node 1
2284.9279999999985,35.25,node 2
2372.7839999999946,35.25,node 3
1216.7840000000047,35.25,node 4
17053.98399999935,35.5,node 0
6391.039999999818,35.5,node 1
2284.9279999999985,35.5,node 2
2432.895999999992,35.5,node 3
1216.7840000000047,35.5,node 4
17127.967999999346,35.75,node 0
6400.287999999818,35.75,node 1
2414.399999999993,35.75,node 2
2451.391999999991,35.75,node 3
1235.2800000000047,35.75,node 4
17248.19199999934,36.0,node 0
6451.151999999815,36.0,node 1
2419.0239999999926,36.0,node 2
2506.8799999999887,36.0,node 3
1253.7760000000048,36.0,node 4
17382.287999999335,36.25,node 0
6497.391999999813,36.25,node 1
2423.6479999999924,36.25,node 2
2571.615999999986,36.25,node 3
1253.7760000000048,36.25,node 4
17493.26399999933,36.5,node 0
6552.879999999811,36.5,node 1
2432.895999999992,36.5,node 2
2627.1039999999834,36.5,node 3
1272.272000000005,36.5,node 4
17627.359999999324,36.75,node 0
6562.1279999998105,36.75,node 1
2451.391999999991,36.75,node 2
2696.4639999999804,36.75,node 3
1290.768000000005,36.75,node 4
17752.20799999932,37.0,node 0
6622.239999999808,37.0,node 1
2488.3839999999896,37.0,node 2
2705.71199999998,37.0,node 3
1309.2640000000051,37.0,node 4
17886.303999999313,37.25,node 0
6677.727999999805,37.25,node 1
2488.3839999999896,37.25,node 2
2765.8239999999773,37.25,node 3
1309.2640000000051,37.25,node 4
17918.67199999931,37.5,node 0
6686.975999999805,37.5,node 1
2562.3679999999863,37.5,node 2
2770.447999999977,37.5,node 3
1438.7360000000058,37.5,node 4
18052.767999999305,37.75,node 0
6747.087999999802,37.75,node 1
2562.3679999999863,37.75,node 2
2825.9359999999747,37.75,node 3
1438.7360000000058,37.75,node 4
18075.887999999304,38.0,node 0
6756.335999999802,38.0,node 1
2636.351999999983,38.0,node 2
2835.1839999999743,38.0,node 3
1572.8320000000065,38.0,node 4
18182.2399999993,38.25,node 0
6811.8239999997995,38.25,node 1
2668.7199999999816,38.25,node 2
2890.671999999972,38.25,node 3
1572.8320000000065,38.25,node 4
18251.599999999296,38.5,node 0
6825.695999999799,38.5,node 1
2696.4639999999804,38.5,node 2
2899.9199999999714,38.5,node 3
1702.3040000000071,38.5,node 4
18390.31999999929,38.75,node 0
6885.807999999796,38.75,node 1
2719.5839999999794,38.75,node 2
2923.0399999999704,38.75,node 3
1706.9280000000072,38.75,node 4
18450.431999999288,39.0,node 0
6895.055999999796,39.0,node 1
2761.1999999999775,39.0,node 2
2936.91199999997,39.0,node 3
1836.4000000000078,39.0,node 4
18552.159999999283,39.25,node 0
6959.791999999793,39.25,node 1
2775.071999999977,39.25,node 2
3006.2719999999667,39.25,node 3
1836.4000000000078,39.25,node 4
18607.64799999928,39.5,node 0
6969.039999999793,39.5,node 1
2812.0639999999753,39.5,node 2
3015.5199999999663,39.5,node 3
1975.1200000000085,39.5,node 4
18709.375999999276,39.75,node 0
7015.279999999791,39.75,node 1
2835.1839999999743,39.75,node 2
3094.127999999963,39.75,node 3
1975.1200000000085,39.75,node 4
18787.983999999273,40.0,node 0
7038.3999999997895,40.0,node 1
2835.1839999999743,40.0,node 2
3103.3759999999625,40.0,node 3
2113.840000000006,40.0,node 4
18889.71199999927,40.25,node 0
7066.143999999788,40.25,node 1
2876.7999999999724,40.25,node 2
3181.983999999959,40.25,node 3
2113.840000000006,40.25,node 4
