bytes,time,node
58.176,5.0,node 0
0.0,5.0,node 1
0.0,5.0,node 2
0.0,5.0,node 3
0.0,5.0,node 4
110.976,5.25,node 0
0.0,5.25,node 1
0.0,5.25,node 2
0.0,5.25,node 3
0.0,5.25,node 4
462.4,5.5,node 0
0.0,5.5,node 1
0.0,5.5,node 2
0.0,5.5,node 3
0.0,5.5,node 4
850.816,5.75,node 0
0.0,5.75,node 1
0.0,5.75,node 2
0.0,5.75,node 3
0.0,5.75,node 4
980.288,6.0,node 0
0.0,6.0,node 1
0.0,6.0,node 2
0.0,6.0,node 3
0.0,6.0,node 4
980.288,6.25,node 0
0.0,6.25,node 1
0.0,6.25,node 2
0.0,6.25,node 3
0.0,6.25,node 4
980.288,6.5,node 0
0.0,6.5,node 1
0.0,6.5,node 2
0.0,6.5,node 3
0.0,6.5,node 4
980.288,6.75,node 0
0.0,6.75,node 1
0.0,6.75,node 2
0.0,6.75,node 3
0.0,6.75,node 4
980.288,7.0,node 0
0.0,7.0,node 1
0.0,7.0,node 2
0.0,7.0,node 3
0.0,7.0,node 4
980.288,7.25,node 0
0.0,7.25,node 1
0.0,7.25,node 2
0.0,7.25,node 3
0.0,7.25,node 4
980.288,7.5,node 0
0.0,7.5,node 1
0.0,7.5,node 2
0.0,7.5,node 3
0.0,7.5,node 4
332.928,7.75,node 0
0.0,7.75,node 1
0.0,7.75,node 2
0.0,7.75,node 3
0.0,7.75,node 4
610.368,8.0,node 0
0.0,8.0,node 1
0.0,8.0,node 2
0.0,8.0,node 3
0.0,8.0,node 4
980.288,8.25,node 0
0.0,8.25,node 1
0.0,8.25,node 2
0.0,8.25,node 3
0.0,8.25,node 4
980.288,8.5,node 0
0.0,8.5,node 1
0.0,8.5,node 2
0.0,8.5,node 3
0.0,8.5,node 4
980.288,8.75,node 0
0.0,8.75,node 1
0.0,8.75,node 2
0.0,8.75,node 3
0.0,8.75,node 4
980.288,9.0,node 0
0.0,9.0,node 1
0.0,9.0,node 2
0.0,9.0,node 3
0.0,9.0,node 4
980.288,9.25,node 0
0.0,9.25,node 1
