bytes,time,node
14,5.0,node 0
0,5.0,node 1
0,5.0,node 2
0,5.0,node 3
0,5.0,node 4
14,5.0,all nodes
23,5.25,node 0
0,5.25,node 1
0,5.25,node 2
0,5.25,node 3
0,5.25,node 4
23,5.25,all nodes
60,5.5,node 0
0,5.5,node 1
0,5.5,node 2
0,5.5,node 3
0,5.5,node 4
60,5.5,all nodes
97,5.75,node 0
0,5.75,node 1
0,5.75,node 2
0,5.75,node 3
0,5.75,node 4
97,5.75,all nodes
139,6.0,node 0
0,6.0,node 1
0,6.0,node 2
0,6.0,node 3
0,6.0,node 4
139,6.0,all nodes
153,6.25,node 0
0,6.25,node 1
0,6.25,node 2
0,6.25,node 3
0,6.25,node 4
153,6.25,all nodes
194,6.5,node 0
0,6.5,node 1
0,6.5,node 2
0,6.5,node 3
0,6.5,node 4
194,6.5,all nodes
264,6.75,node 0
0,6.75,node 1
0,6.75,node 2
0,6.75,node 3
0,6.75,node 4
264,6.75,all nodes
264,7.0,node 0
0,7.0,node 1
0,7.0,node 2
0,7.0,node 3
0,7.0,node 4
264,7.0,all nodes
264,7.25,node 0
0,7.25,node 1
0,7.25,node 2
0,7.25,node 3
0,7.25,node 4
264,7.25,all nodes
264,7.5,node 0
0,7.5,node 1
0,7.5,node 2
0,7.5,node 3
0,7.5,node 4
264,7.5,all nodes
268,7.75,node 0
0,7.75,node 1
0,7.75,node 2
0,7.75,node 3
0,7.75,node 4
268,7.75,all nodes
291,8.0,node 0
0,8.0,node 1
0,8.0,node 2
0,8.0,node 3
0,8.0,node 4
291,8.0,all nodes
305,8.25,node 0
0,8.25,node 1
0,8.25,node 2
0,8.25,node 3
0,8.25,node 4
305,8.25,all nodes
305,8.5,node 0
0,8.5,node 1
0,8.5,node 2
0,8.5,node 3
0,8.5,node 4
305,8.5,all nodes
305,8.75,node 0
0,8.75,node 1
0,8.75,node 2
0,8.75,node 3
0,8.75,node 4
305,8.75,all nodes
305,9.0,node 0
0,9.0,node 1
0,9.0,node 2
0,9.0,node 3
0,9.0,node 4
305,9.0,all nodes
305,9.25,node 0
0,9.25,node 1
0,9.25,node 2
0,9.25,node 3
0,9.25,node 4
305,9.25,all nodes
305,9.5,node 0
0,9.5,node 1
0,9.5,node 2
0,9.5,node 3
0,9.5,node 4
305,9.5,all nodes
305,9.75,node 0
0,9.75,node 1
0,9.75,node 2
0,9.75,node 3
0,9.75,node 4
305,9.75,all nodes
305,10.0,node 0
0,10.0,node 1
0,10.0,node 2
0,10.0,node 3
0,10.0,node 4
305,10.0,all nodes
319,10.25,node 0
9,10.25,node 1
0,10.25,node 2
0,10.25,node 3
0,10.25,node 4
328,10.25,all nodes
319,10.5,node 0
13,10.5,node 1
0,10.5,node 2
0,10.5,node 3
0,10.5,node 4
333,10.5,all nodes
342,10.75,node 0
32,10.75,node 1
0,10.75,node 2
0,10.75,node 3
0,10.75,node 4
375,10.75,all nodes
365,11.0,node 0
60,11.0,node 1
0,11.0,node 2
0,11.0,node 3
0,11.0,node 4
426,11.0,all nodes
375,11.25,node 0
101,11.25,node 1
0,11.25,node 2
0,11.25,node 3
0,11.25,node 4
476,11.25,all nodes
384,11.5,node 0
124,11.5,node 1
0,11.5,node 2
0,11.5,node 3
0,11.5,node 4
509,11.5,all nodes
384,11.75,node 0
124,11.75,node 1
0,11.75,node 2
0,11.75,node 3
0,11.75,node 4
509,11.75,all nodes
384,12.0,node 0
152,12.0,node 1
0,12.0,node 2
0,12.0,node 3
0,12.0,node 4
537,12.0,all nodes
384,12.25,node 0
166,12.25,node 1
0,12.25,node 2
0,12.25,node 3
0,12.25,node 4
550,12.25,all nodes
384,12.5,node 0
175,12.5,node 1
0,12.5,node 2
0,12.5,node 3
0,12.5,node 4
560,12.5,all nodes
384,12.75,node 0
175,12.75,node 1
0,12.75,node 2
0,12.75,node 3
0,12.75,node 4
560,12.75,all nodes
384,13.0,node 0
180,13.0,node 1
0,13.0,node 2
0,13.0,node 3
0,13.0,node 4
564,13.0,all nodes
384,13.25,node 0
180,13.25,node 1
0,13.25,node 2
0,13.25,node 3
0,13.25,node 4
564,13.25,all nodes
384,13.5,node 0
180,13.5,node 1
0,13.5,node 2
0,13.5,node 3
0,13.5,node 4
564,13.5,all nodes
384,13.75,node 0
180,13.75,node 1
0,13.75,node 2
0,13.75,node 3
0,13.75,node 4
564,13.75,all nodes
384,14.0,node 0
198,14.0,node 1
0,14.0,node 2
0,14.0,node 3
0,14.0,node 4
583,14.0,all nodes
384,14.25,node 0
217,14.25,node 1
0,14.25,node 2
0,14.25,node 3
0,14.25,node 4
601,14.25,all nodes
384,14.5,node 0
254,14.5,node 1
0,14.5,node 2
0,14.5,node 3
0,14.5,node 4
638,14.5,all nodes
384,14.75,node 0
291,14.75,node 1
0,14.75,node 2
0,14.75,node 3
0,14.75,node 4
675,14.75,all nodes
384,15.0,node 0
291,15.0,node 1
9,15.0,node 2
0,15.0,node 3
0,15.0,node 4
685,15.0,all nodes
384,15.25,node 0
291,15.25,node 1
9,15.25,node 2
0,15.25,node 3
0,15.25,node 4
685,15.25,all nodes
384,15.5,node 0
291,15.5,node 1
9,15.5,node 2
0,15.5,node 3
0,15.5,node 4
685,15.5,all nodes
384,15.75,node 0
291,15.75,node 1
9,15.75,node 2
0,15.75,node 3
0,15.75,node 4
685,15.75,all nodes
384,16.0,node 0
323,16.0,node 1
27,16.0,node 2
0,16.0,node 3
0,16.0,node 4
735,16.0,all nodes
384,16.25,node 0
332,16.25,node 1
55,16.25,node 2
0,16.25,node 3
0,16.25,node 4
772,16.25,all nodes
384,16.5,node 0
337,16.5,node 1
73,16.5,node 2
0,16.5,node 3
0,16.5,node 4
796,16.5,all nodes
384,16.75,node 0
356,16.75,node 1
115,16.75,node 2
0,16.75,node 3
0,16.75,node 4
856,16.75,all nodes
384,17.0,node 0
383,17.0,node 1
180,17.0,node 2
0,17.0,node 3
0,17.0,node 4
948,17.0,all nodes
384,17.25,node 0
397,17.25,node 1
231,17.25,node 2
0,17.25,node 3
0,17.25,node 4
1013,17.25,all nodes
384,17.5,node 0
402,17.5,node 1
263,17.5,node 2
0,17.5,node 3
0,17.5,node 4
1050,17.5,all nodes
384,17.75,node 0
406,17.75,node 1
277,17.75,node 2
0,17.75,node 3
0,17.75,node 4
1068,17.75,all nodes
384,18.0,node 0
406,18.0,node 1
277,18.0,node 2
0,18.0,node 3
0,18.0,node 4
1068,18.0,all nodes
384,18.25,node 0
411,18.25,node 1
300,18.25,node 2
0,18.25,node 3
0,18.25,node 4
1096,18.25,all nodes
384,18.5,node 0
434,18.5,node 1
314,18.5,node 2
0,18.5,node 3
0,18.5,node 4
1133,18.5,all nodes
384,18.75,node 0
434,18.75,node 1
314,18.75,node 2
0,18.75,node 3
0,18.75,node 4
1133,18.75,all nodes
384,19.0,node 0
453,19.0,node 1
337,19.0,node 2
0,19.0,node 3
0,19.0,node 4
1175,19.0,all nodes
384,19.25,node 0
453,19.25,node 1
365,19.25,node 2
0,19.25,node 3
0,19.25,node 4
1202,19.25,all nodes
384,19.5,node 0
453,19.5,node 1
393,19.5,node 2
0,19.5,node 3
0,19.5,node 4
1230,19.5,all nodes
