bytes,time,node
0,0,node 0
0,0,node 1
0,0,node 2
0,0,node 3
0,0,node 4
0,0.25,node 0
0,0.25,node 1
0,0.25,node 2
0,0.25,node 3
0,0.25,node 4
0,0.5,node 0
0,0.5,node 1
0,0.5,node 2
0,0.5,node 3
0,0.5,node 4
0,0.75,node 0
0,0.75,node 1
0,0.75,node 2
0,0.75,node 3
0,0.75,node 4
0,1.0,node 0
0,1.0,node 1
0,1.0,node 2
0,1.0,node 3
0,1.0,node 4
0,1.25,node 0
0,1.25,node 1
0,1.25,node 2
0,1.25,node 3
0,1.25,node 4
0,1.5,node 0
0,1.5,node 1
0,1.5,node 2
0,1.5,node 3
0,1.5,node 4
0,1.75,node 0
0,1.75,node 1
0,1.75,node 2
0,1.75,node 3
0,1.75,node 4
0,2.0,node 0
0,2.0,node 1
0,2.0,node 2
0,2.0,node 3
0,2.0,node 4
0,2.25,node 0
0,2.25,node 1
0,2.25,node 2
0,2.25,node 3
0,2.25,node 4
0,2.5,node 0
0,2.5,node 1
0,2.5,node 2
0,2.5,node 3
0,2.5,node 4
0,2.75,node 0
0,2.75,node 1
0,2.75,node 2
0,2.75,node 3
0,2.75,node 4
0,3.0,node 0
0,3.0,node 1
0,3.0,node 2
0,3.0,node 3
0,3.0,node 4
0,3.25,node 0
0,3.25,node 1
0,3.25,node 2
0,3.25,node 3
0,3.25,node 4
0,3.5,node 0
0,3.5,node 1
0,3.5,node 2
0,3.5,node 3
0,3.5,node 4
0,3.75,node 0
0,3.75,node 1
0,3.75,node 2
0,3.75,node 3
0,3.75,node 4
0,4.0,node 0
0,4.0,node 1
0,4.0,node 2
0,4.0,node 3
0,4.0,node 4
0,4.25,node 0
0,4.25,node 1
0,4.25,node 2
0,4.25,node 3
0,4.25,node 4
0,4.5,node 0
0,4.5,node 1
0,4.5,node 2
0,4.5,node 3
0,4.5,node 4
0,4.75,node 0
0,4.75,node 1
0,4.75,node 2
0,4.75,node 3
0,4.75,node 4
0,5.0,node 0
0,5.0,node 1
0,5.0,node 2
0,5.0,node 3
0,5.0,node 4
0,5.25,node 0
0,5.25,node 1
0,5.25,node 2
0,5.25,node 3
0,5.25,node 4
14.543999999999997,5.5,node 0
0,5.5,node 1
0,5.5,node 2
0,5.5,node 3
0,5.5,node 4
28.415999999999993,5.75,node 0
0,5.75,node 1
0,5.75,node 2
0,5.75,node 3
0,5.75,node 4
70.032,6.0,node 0
0,6.0,node 1
0,6.0,node 2
0,6.0,node 3
0,6.0,node 4
111.64799999999995,6.25,node 0
0,6.25,node 1
0,6.25,node 2
0,6.25,node 3
0,6.25,node 4
157.88799999999992,6.5,node 0
0,6.5,node 1
0,6.5,node 2
0,6.5,node 3
0,6.5,node 4
176.3839999999999,6.75,node 0
0,6.75,node 1
0,6.75,node 2
0,6.75,node 3
0,6.75,node 4
222.62399999999985,7.0,node 0
0,7.0,node 1
0,7.0,node 2
0,7.0,node 3
0,7.0,node 4
296.608,7.25,node 0
0,7.25,node 1
0,7.25,node 2
0,7.25,node 3
0,7.25,node 4
301.232,7.5,node 0
0,7.5,node 1
0,7.5,node 2
0,7.5,node 3
0,7.5,node 4
305.85600000000005,7.75,node 0
0,7.75,node 1
0,7.75,node 2
0,7.75,node 3
0,7.75,node 4
305.85600000000005,8.0,node 0
0,8.0,node 1
0,8.0,node 2
0,8.0,node 3
0,8.0,node 4
319.7280000000001,8.25,node 0
0,8.25,node 1
0,8.25,node 2
0,8.25,node 3
0,8.25,node 4
347.47200000000026,8.5,node 0
0,8.5,node 1
0,8.5,node 2
0,8.5,node 3
0,8.5,node 4
365.96800000000036,8.75,node 0
0,8.75,node 1
0,8.75,node 2
0,8.75,node 3
0,8.75,node 4
365.96800000000036,9.0,node 0
0,9.0,node 1
0,9.0,node 2
0,9.0,node 3
0,9.0,node 4
365.96800000000036,9.25,node 0
0,9.25,node 1
0,9.25,node 2
0,9.25,node 3
0,9.25,node 4
375.2160000000004,9.5,node 0
0,9.5,node 1
0,9.5,node 2
0,9.5,node 3
0,9.5,node 4
375.2160000000004,9.75,node 0
0,9.75,node 1
0,9.75,node 2
0,9.75,node 3
0,9.75,node 4
375.2160000000004,10.0,node 0
0,10.0,node 1
0,10.0,node 2
0,10.0,node 3
0,10.0,node 4
375.2160000000004,10.25,node 0
0,10.25,node 1
0,10.25,node 2
0,10.25,node 3
0,10.25,node 4
375.2160000000004,10.5,node 0
14.543999999999997,10.5,node 1
0,10.5,node 2
0,10.5,node 3
0,10.5,node 4
393.7120000000005,10.75,node 0
23.791999999999994,10.75,node 1
0,10.75,node 2
0,10.75,node 3
0,10.75,node 4
398.3360000000005,11.0,node 0
28.415999999999993,11.0,node 1
0,11.0,node 2
0,11.0,node 3
0,11.0,node 4
426.08000000000067,11.25,node 0
46.912,11.25,node 1
0,11.25,node 2
0,11.25,node 3
0,11.25,node 4
449.2000000000008,11.5,node 0
79.27999999999999,11.5,node 1
0,11.5,node 2
0,11.5,node 3
0,11.5,node 4
463.07200000000086,11.75,node 0
120.89599999999994,11.75,node 1
0,11.75,node 2
0,11.75,node 3
0,11.75,node 4
472.3200000000009,12.0,node 0
148.63999999999993,12.0,node 1
0,12.0,node 2
0,12.0,node 3
0,12.0,node 4
472.3200000000009,12.25,node 0
153.26399999999992,12.25,node 1
0,12.25,node 2
0,12.25,node 3
0,12.25,node 4
472.3200000000009,12.5,node 0
185.6319999999999,12.5,node 1
0,12.5,node 2
0,12.5,node 3
0,12.5,node 4
472.3200000000009,12.75,node 0
204.12799999999987,12.75,node 1
0,12.75,node 2
0,12.75,node 3
0,12.75,node 4
472.3200000000009,13.0,node 0
217.99999999999986,13.0,node 1
0,13.0,node 2
0,13.0,node 3
0,13.0,node 4
472.3200000000009,13.25,node 0
222.62399999999985,13.25,node 1
0,13.25,node 2
0,13.25,node 3
0,13.25,node 4
472.3200000000009,13.5,node 0
231.87199999999984,13.5,node 1
0,13.5,node 2
0,13.5,node 3
0,13.5,node 4
472.3200000000009,13.75,node 0
236.49599999999984,13.75,node 1
0,13.75,node 2
0,13.75,node 3
0,13.75,node 4
472.3200000000009,14.0,node 0
236.49599999999984,14.0,node 1
0,14.0,node 2
0,14.0,node 3
0,14.0,node 4
472.3200000000009,14.25,node 0
241.11999999999983,14.25,node 1
0,14.25,node 2
0,14.25,node 3
0,14.25,node 4
472.3200000000009,14.5,node 0
268.86399999999986,14.5,node 1
0,14.5,node 2
0,14.5,node 3
0,14.5,node 4
472.3200000000009,14.75,node 0
291.984,14.75,node 1
0,14.75,node 2
0,14.75,node 3
0,14.75,node 4
472.3200000000009,15.0,node 0
333.6000000000002,15.0,node 1
0,15.0,node 2
0,15.0,node 3
0,15.0,node 4
472.3200000000009,15.25,node 0
375.2160000000004,15.25,node 1
0,15.25,node 2
0,15.25,node 3
0,15.25,node 4
472.3200000000009,15.5,node 0
375.2160000000004,15.5,node 1
9.584,15.5,node 2
0,15.5,node 3
0,15.5,node 4
472.3200000000009,15.75,node 0
375.2160000000004,15.75,node 1
9.584,15.75,node 2
0,15.75,node 3
0,15.75,node 4
472.3200000000009,16.0,node 0
375.2160000000004,16.0,node 1
18.831999999999997,16.0,node 2
0,16.0,node 3
0,16.0,node 4
472.3200000000009,16.25,node 0
379.84000000000043,16.25,node 1
18.831999999999997,16.25,node 2
0,16.25,node 3
0,16.25,node 4
472.3200000000009,16.5,node 0
412.2080000000006,16.5,node 1
41.952,16.5,node 2
0,16.5,node 3
0,16.5,node 4
472.3200000000009,16.75,node 0
421.45600000000064,16.75,node 1
74.32,16.75,node 2
0,16.75,node 3
0,16.75,node 4
472.3200000000009,17.0,node 0
426.08000000000067,17.0,node 1
97.43999999999997,17.0,node 2
0,17.0,node 3
0,17.0,node 4
472.3200000000009,17.25,node 0
444.57600000000076,17.25,node 1
143.67999999999992,17.25,node 2
0,17.25,node 3
0,17.25,node 4
472.3200000000009,17.5,node 0
476.9440000000009,17.5,node 1
208.41599999999985,17.5,node 2
0,17.5,node 3
0,17.5,node 4
472.3200000000009,17.75,node 0
495.440000000001,17.75,node 1
259.2799999999998,17.75,node 2
0,17.75,node 3
0,17.75,node 4
472.3200000000009,18.0,node 0
500.06400000000104,18.0,node 1
296.272,18.0,node 2
0,18.0,node 3
0,18.0,node 4
472.3200000000009,18.25,node 0
509.3120000000011,18.25,node 1
310.14400000000006,18.25,node 2
0,18.25,node 3
0,18.25,node 4
472.3200000000009,18.5,node 0
509.3120000000011,18.5,node 1
314.7680000000001,18.5,node 2
0,18.5,node 3
0,18.5,node 4
472.3200000000009,18.75,node 0
513.9360000000011,18.75,node 1
342.5120000000002,18.75,node 2
0,18.75,node 3
0,18.75,node 4
472.3200000000009,19.0,node 0
541.6800000000012,19.0,node 1
356.3840000000003,19.0,node 2
0,19.0,node 3
0,19.0,node 4
472.3200000000009,19.25,node 0
541.6800000000012,19.25,node 1
361.0080000000003,19.25,node 2
0,19.25,node 3
0,19.25,node 4
472.3200000000009,19.5,node 0
560.1760000000013,19.5,node 1
388.75200000000046,19.5,node 2
0,19.5,node 3
0,19.5,node 4
472.3200000000009,19.75,node 0
560.1760000000013,19.75,node 1
421.12000000000063,19.75,node 2
0,19.75,node 3
0,19.75,node 4
472.3200000000009,20.0,node 0
564.8000000000013,20.0,node 1
448.8640000000008,20.0,node 2
0,20.0,node 3
0,20.0,node 4
490.816000000001,20.25,node 0
578.6720000000014,20.25,node 1
458.1120000000008,20.25,node 2
0,20.25,node 3
0,20.25,node 4
495.440000000001,20.5,node 0
592.5440000000015,20.5,node 1
471.9840000000009,20.5,node 2
14.543999999999997,20.5,node 3
0,20.5,node 4
500.06400000000104,20.75,node 0
601.7920000000015,20.75,node 1
490.480000000001,20.75,node 2
33.03999999999999,20.75,node 3
0,20.75,node 4
500.06400000000104,21.0,node 0
601.7920000000015,21.0,node 1
508.9760000000011,21.0,node 2
33.03999999999999,21.0,node 3
0,21.0,node 4
500.06400000000104,21.25,node 0
615.6640000000016,21.25,node 1
513.600000000001,21.25,node 2
42.288,21.25,node 3
0,21.25,node 4
500.06400000000104,21.5,node 0
620.2880000000016,21.5,node 1
513.600000000001,21.5,node 2
42.288,21.5,node 3
0,21.5,node 4
500.06400000000104,21.75,node 0
629.5360000000016,21.75,node 1
513.600000000001,21.75,node 2
42.288,21.75,node 3
0,21.75,node 4
500.06400000000104,22.0,node 0
629.5360000000016,22.0,node 1
513.600000000001,22.0,node 2
42.288,22.0,node 3
0,22.0,node 4
513.9360000000011,22.25,node 0
634.1600000000017,22.25,node 1
513.600000000001,22.25,node 2
42.288,22.25,node 3
0,22.25,node 4
546.3040000000012,22.5,node 0
638.7840000000017,22.5,node 1
513.600000000001,22.5,node 2
42.288,22.5,node 3
0,22.5,node 4
578.6720000000014,22.75,node 0
652.6560000000018,22.75,node 1
527.4720000000011,22.75,node 2
42.288,22.75,node 3
0,22.75,node 4
606.4160000000015,23.0,node 0
657.2800000000018,23.0,node 1
532.0960000000011,23.0,node 2
42.288,23.0,node 3
0,23.0,node 4
611.0400000000016,23.25,node 0
657.2800000000018,23.25,node 1
532.0960000000011,23.25,node 2
42.288,23.25,node 3
0,23.25,node 4
638.7840000000017,23.5,node 0
661.9040000000018,23.5,node 1
532.0960000000011,23.5,node 2
42.288,23.5,node 3
0,23.5,node 4
661.9040000000018,23.75,node 0
675.7760000000019,23.75,node 1
532.0960000000011,23.75,node 2
42.288,23.75,node 3
0,23.75,node 4
689.648000000002,24.0,node 0
680.4000000000019,24.0,node 1
532.0960000000011,24.0,node 2
42.288,24.0,node 3
0,24.0,node 4
694.272000000002,24.25,node 0
680.4000000000019,24.25,node 1
532.0960000000011,24.25,node 2
42.288,24.25,node 3
0,24.25,node 4
708.144000000002,24.5,node 0
694.272000000002,24.5,node 1
532.0960000000011,24.5,node 2
42.288,24.5,node 3
0,24.5,node 4
740.5120000000022,24.75,node 0
712.7680000000021,24.75,node 1
532.0960000000011,24.75,node 2
42.288,24.75,node 3
0,24.75,node 4
749.7600000000023,25.0,node 0
745.1360000000022,25.0,node 1
545.9680000000012,25.0,node 2
42.288,25.0,node 3
0,25.0,node 4
772.8800000000024,25.25,node 0
777.5040000000024,25.25,node 1
545.9680000000012,25.25,node 2
42.288,25.25,node 3
0,25.25,node 4
805.2480000000025,25.5,node 0
777.5040000000024,25.5,node 1
545.9680000000012,25.5,node 2
42.288,25.5,node 3
9.919999999999998,25.5,node 4
832.9920000000027,25.75,node 0
786.7520000000025,25.75,node 1
545.9680000000012,25.75,node 2
42.288,25.75,node 3
9.919999999999998,25.75,node 4
846.8640000000028,26.0,node 0
786.7520000000025,26.0,node 1
545.9680000000012,26.0,node 2
42.288,26.0,node 3
19.167999999999996,26.0,node 4
851.4880000000028,26.25,node 0
786.7520000000025,26.25,node 1
545.9680000000012,26.25,node 2
42.288,26.25,node 3
19.167999999999996,26.25,node 4
869.9840000000029,26.5,node 0
791.3760000000025,26.5,node 1
545.9680000000012,26.5,node 2
46.912,26.5,node 3
28.415999999999993,26.5,node 4
869.9840000000029,26.75,node 0
796.0000000000025,26.75,node 1
545.9680000000012,26.75,node 2
65.408,26.75,node 3
28.415999999999993,26.75,node 4
874.6080000000029,27.0,node 0
796.0000000000025,27.0,node 1
545.9680000000012,27.0,node 2
65.408,27.0,node 3
28.415999999999993,27.0,node 4
888.480000000003,27.25,node 0
796.0000000000025,27.25,node 1
545.9680000000012,27.25,node 2
88.52799999999998,27.25,node 3
28.415999999999993,27.25,node 4
893.104000000003,27.5,node 0
796.0000000000025,27.5,node 1
545.9680000000012,27.5,node 2
88.52799999999998,27.5,node 3
37.663999999999994,27.5,node 4
893.104000000003,27.75,node 0
796.0000000000025,27.75,node 1
545.9680000000012,27.75,node 2
107.02399999999996,27.75,node 3
37.663999999999994,27.75,node 4
893.104000000003,28.0,node 0
796.0000000000025,28.0,node 1
545.9680000000012,28.0,node 2
120.89599999999994,28.0,node 3
42.288,28.0,node 4
893.104000000003,28.25,node 0
809.8720000000026,28.25,node 1
545.9680000000012,28.25,node 2
120.89599999999994,28.25,node 3
42.288,28.25,node 4
897.728000000003,28.5,node 0
828.3680000000027,28.5,node 1
545.9680000000012,28.5,node 2
120.89599999999994,28.5,node 3
56.160000000000004,28.5,node 4
897.728000000003,28.75,node 0
860.7360000000028,28.75,node 1
545.9680000000012,28.75,node 2
120.89599999999994,28.75,node 3
70.032,28.75,node 4
897.728000000003,29.0,node 0
897.728000000003,29.0,node 1
564.4640000000013,29.0,node 2
120.89599999999994,29.0,node 3
74.65599999999999,29.0,node 4
897.728000000003,29.25,node 0
902.352000000003,29.25,node 1
592.2080000000014,29.25,node 2
120.89599999999994,29.25,node 3
74.65599999999999,29.25,node 4
897.728000000003,29.5,node 0
906.9760000000031,29.5,node 1
619.9520000000016,29.5,node 2
120.89599999999994,29.5,node 3
79.27999999999999,29.5,node 4
902.352000000003,29.75,node 0
911.6000000000031,29.75,node 1
629.2000000000016,29.75,node 2
120.89599999999994,29.75,node 3
83.90399999999998,29.75,node 4
920.8480000000031,30.0,node 0
916.2240000000031,30.0,node 1
633.8240000000017,30.0,node 2
134.76799999999994,30.0,node 3
83.90399999999998,30.0,node 4
920.8480000000031,30.25,node 0
916.2240000000031,30.25,node 1
661.5680000000018,30.25,node 2
167.1359999999999,30.25,node 3
83.90399999999998,30.25,node 4
943.9680000000033,30.5,node 0
916.2240000000031,30.5,node 1
689.312000000002,30.5,node 2
171.7599999999999,30.5,node 3
83.90399999999998,30.5,node 4
976.3360000000034,30.75,node 0
916.2240000000031,30.75,node 1
703.184000000002,30.75,node 2
190.2559999999999,30.75,node 3
88.52799999999998,30.75,node 4
985.5840000000035,31.0,node 0
920.8480000000031,31.0,node 1
717.0560000000021,31.0,node 2
190.2559999999999,31.0,node 3
93.15199999999997,31.0,node 4
1022.5760000000037,31.25,node 0
939.3440000000032,31.25,node 1
749.4240000000023,31.25,node 2
194.87999999999988,31.25,node 3
93.15199999999997,31.25,node 4
1073.440000000004,31.5,node 0
967.0880000000034,31.5,node 1
767.9200000000023,31.5,node 2
208.75199999999987,31.5,node 3
93.15199999999997,31.5,node 4
1082.688000000004,31.75,node 0
971.7120000000034,31.75,node 1
818.7840000000026,31.75,node 2
227.24799999999985,31.75,node 3
93.15199999999997,31.75,node 4
1087.312000000004,32.0,node 0
976.3360000000034,32.0,node 1
846.5280000000027,32.0,node 2
231.87199999999984,32.0,node 3
93.15199999999997,32.0,node 4
1091.936000000004,32.25,node 0
990.2080000000035,32.25,node 1
851.1520000000028,32.25,node 2
254.99199999999982,32.25,node 3
93.15199999999997,32.25,node 4
1101.184000000004,32.5,node 0
990.2080000000035,32.5,node 1
883.5200000000029,32.5,node 2
259.6159999999998,32.5,node 3
93.15199999999997,32.5,node 4
1105.808000000004,32.75,node 0
990.2080000000035,32.75,node 1
915.8880000000031,32.75,node 2
287.35999999999996,32.75,node 3
93.15199999999997,32.75,node 4
1105.808000000004,33.0,node 0
1004.0800000000036,33.0,node 1
934.3840000000032,33.0,node 2
301.232,33.0,node 3
97.77599999999997,33.0,node 4
1105.808000000004,33.25,node 0
1036.4480000000037,33.25,node 1
939.0080000000032,33.25,node 2
315.1040000000001,33.25,node 3
120.89599999999994,33.25,node 4
1110.432000000004,33.5,node 0
1050.3200000000038,33.5,node 1
948.2560000000033,33.5,node 2
333.6000000000002,33.5,node 3
120.89599999999994,33.5,node 4
1128.9280000000042,33.75,node 0
1050.3200000000038,33.75,node 1
948.2560000000033,33.75,node 2
365.96800000000036,33.75,node 3
125.51999999999994,33.75,node 4
1128.9280000000042,34.0,node 0
1073.440000000004,34.0,node 1
952.8800000000033,34.0,node 2
416.8320000000006,34.0,node 3
153.26399999999992,34.0,node 4
1152.0480000000043,34.25,node 0
1105.808000000004,34.25,node 1
952.8800000000033,34.25,node 2
439.95200000000074,34.25,node 3
153.26399999999992,34.25,node 4
1165.9200000000044,34.5,node 0
1128.9280000000042,34.5,node 1
952.8800000000033,34.5,node 2
463.07200000000086,34.5,node 3
157.88799999999992,34.5,node 4
1165.9200000000044,34.75,node 0
1128.9280000000042,34.75,node 1
952.8800000000033,34.75,node 2
490.816000000001,34.75,node 3
185.6319999999999,34.75,node 4
1189.0400000000045,35.0,node 0
1142.8000000000043,35.0,node 1
952.8800000000033,35.0,node 2
509.3120000000011,35.0,node 3
213.37599999999986,35.0,node 4
1193.6640000000045,35.25,node 0
1161.2960000000044,35.25,node 1
966.7520000000034,35.25,node 2
513.9360000000011,35.25,node 3
245.74399999999983,35.25,node 4
1202.9120000000046,35.5,node 0
1165.9200000000044,35.5,node 1
985.2480000000035,35.5,node 2
537.0560000000012,35.5,node 3
250.36799999999982,35.5,node 4
1202.9120000000046,35.75,node 0
1170.5440000000044,35.75,node 1
1008.3680000000036,35.75,node 2
564.8000000000013,35.75,node 3
259.6159999999998,35.75,node 4
1207.5360000000046,36.0,node 0
1170.5440000000044,36.0,node 1
1022.2400000000036,36.0,node 2
564.8000000000013,36.0,node 3
259.6159999999998,36.0,node 4
1212.1600000000046,36.25,node 0
1184.4160000000045,36.25,node 1
1054.6080000000038,36.25,node 2
569.4240000000013,36.25,node 3
259.6159999999998,36.25,node 4
1221.4080000000047,36.5,node 0
1184.4160000000045,36.5,node 1
1082.352000000004,36.5,node 2
569.4240000000013,36.5,node 3
268.86399999999986,36.5,node 4
1226.0320000000047,36.75,node 0
1184.4160000000045,36.75,node 1
1096.224000000004,36.75,node 2
578.6720000000014,36.75,node 3
268.86399999999986,36.75,node 4
1226.0320000000047,37.0,node 0
1184.4160000000045,37.0,node 1
1128.5920000000042,37.0,node 2
578.6720000000014,37.0,node 3
268.86399999999986,37.0,node 4
1249.1520000000048,37.25,node 0
1184.4160000000045,37.25,node 1
1147.0880000000043,37.25,node 2
578.6720000000014,37.25,node 3
268.86399999999986,37.25,node 4
1249.1520000000048,37.5,node 0
1189.0400000000045,37.5,node 1
1160.9600000000044,37.5,node 2
578.6720000000014,37.5,node 3
268.86399999999986,37.5,node 4
1258.4000000000049,37.75,node 0
1207.5360000000046,37.75,node 1
1170.2080000000044,37.75,node 2
578.6720000000014,37.75,node 3
268.86399999999986,37.75,node 4
1258.4000000000049,38.0,node 0
1239.9040000000048,38.0,node 1
1170.2080000000044,38.0,node 2
578.6720000000014,38.0,node 3
273.4879999999999,38.0,node 4
1258.4000000000049,38.25,node 0
1276.896000000005,38.25,node 1
1170.2080000000044,38.25,node 2
583.2960000000014,38.25,node 3
273.4879999999999,38.25,node 4
1263.024000000005,38.5,node 0
1281.520000000005,38.5,node 1
1184.0800000000045,38.5,node 2
597.1680000000015,38.5,node 3
273.4879999999999,38.5,node 4
1276.896000000005,38.75,node 0
1295.392000000005,38.75,node 1
1188.7040000000045,38.75,node 2
597.1680000000015,38.75,node 3
273.4879999999999,38.75,node 4
1281.520000000005,39.0,node 0
1327.7600000000052,39.0,node 1
1197.9520000000045,39.0,node 2
597.1680000000015,39.0,node 3
273.4879999999999,39.0,node 4
1309.2640000000051,39.25,node 0
1346.2560000000053,39.25,node 1
1202.5760000000046,39.25,node 2
597.1680000000015,39.25,node 3
273.4879999999999,39.25,node 4
1332.3840000000052,39.5,node 0
1364.7520000000054,39.5,node 1
1202.5760000000046,39.5,node 2
597.1680000000015,39.5,node 3
273.4879999999999,39.5,node 4
1355.5040000000054,39.75,node 0
1364.7520000000054,39.75,node 1
1207.2000000000046,39.75,node 2
597.1680000000015,39.75,node 3
273.4879999999999,39.75,node 4
1360.1280000000054,40.0,node 0
1387.8720000000055,40.0,node 1
1234.9440000000047,40.0,node 2
597.1680000000015,40.0,node 3
273.4879999999999,40.0,node 4
1360.1280000000054,40.25,node 0
1406.3680000000056,40.25,node 1
1253.4400000000048,40.25,node 2
597.1680000000015,40.25,node 3
273.4879999999999,40.25,node 4
1360.1280000000054,40.5,node 0
1410.9920000000056,40.5,node 1
1258.0640000000049,40.5,node 2
601.7920000000015,40.5,node 3
273.4879999999999,40.5,node 4
1360.1280000000054,40.75,node 0
1429.4880000000057,40.75,node 1
1258.0640000000049,40.75,node 2
606.4160000000015,40.75,node 3
278.1119999999999,40.75,node 4
1360.1280000000054,41.0,node 0
1434.1120000000058,41.0,node 1
1271.936000000005,41.0,node 2
