bytes,time,node
58.176,5.0,node 0
0.0,5.0,node 1
0.0,5.0,node 2
0.0,5.0,node 3
0.0,5.0,node 4
36.992,5.25,node 0
0.0,5.25,node 1
0.0,5.25,node 2
0.0,5.25,node 3
0.0,5.25,node 4
147.968,5.5,node 0
0.0,5.5,node 1
0.0,5.5,node 2
0.0,5.5,node 3
0.0,5.5,node 4
147.968,5.75,node 0
0.0,5.75,node 1
0.0,5.75,node 2
0.0,5.75,node 3
0.0,5.75,node 4
166.464,6.0,node 0
0.0,6.0,node 1
0.0,6.0,node 2
0.0,6.0,node 3
0.0,6.0,node 4
55.488,6.25,node 0
0.0,6.25,node 1
0.0,6.25,node 2
0.0,6.25,node 3
0.0,6.25,node 4
166.464,6.5,node 0
0.0,6.5,node 1
0.0,6.5,node 2
0.0,6.5,node 3
0.0,6.5,node 4
277.44,6.75,node 0
0.0,6.75,node 1
0.0,6.75,node 2
0.0,6.75,node 3
0.0,6.75,node 4
0.0,7.0,node 0
0.0,7.0,node 1
0.0,7.0,node 2
0.0,7.0,node 3
0.0,7.0,node 4
0.0,7.25,node 0
0.0,7.25,node 1
0.0,7.25,node 2
0.0,7.25,node 3
0.0,7.25,node 4
0.0,7.5,node 0
0.0,7.5,node 1
0.0,7.5,node 2
0.0,7.5,node 3
0.0,7.5,node 4
18.496,7.75,node 0
0.0,7.75,node 1
0.0,7.75,node 2
0.0,7.75,node 3
0.0,7.75,node 4
92.48,8.0,node 0
0.0,8.0,node 1
0.0,8.0,node 2
0.0,8.0,node 3
0.0,8.0,node 4
55.488,8.25,node 0
0.0,8.25,node 1
0.0,8.25,node 2
0.0,8.25,node 3
0.0,8.25,node 4
0.0,8.5,node 0
0.0,8.5,node 1
0.0,8.5,node 2
0.0,8.5,node 3
0.0,8.5,node 4
0.0,8.75,node 0
0.0,8.75,node 1
0.0,8.75,node 2
0.0,8.75,node 3
0.0,8.75,node 4
0.0,9.0,node 0
0.0,9.0,node 1
0.0,9.0,node 2
0.0,9.0,node 3
0.0,9.0,node 4
0.0,9.25,node 0
0.0,9.25,node 1
